,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
534,2023-03-05,2023-03-05 19:35:28.788000+05:30,24959,od_1677385001579287,-310.0," Bought 10.00 shares x Y (Rs. 31.00 each) , Limit Order",Bought,10.0,Y,31.0,310.0,-310.0,36.0,69.0,10.0,690.0
533,2023-03-05,2023-03-05 19:35:34.909000+05:30,24959,od_1677385001579291,-640.0," Bought 10.00 shares x N (Rs. 64.00 each) , Limit Order",Bought,10.0,N,64.0,640.0,-950.0,69.0,36.0,10.0,360.0
532,2023-03-05,2023-03-05 19:36:05.037000+05:30,24959,od_1677385001579287,310.0," Cancelled 10.00 shares x Y (Rs. 31.00 each) , ",Cancelled,10.0,Y,31.0,310.0,-640.0,36.0,69.0,-10.0,-690.0
531,2023-03-05,2023-03-05 19:36:05.760000+05:30,24959,od_1677385001579311,-300.0," Bought 10.00 shares x Y (Rs. 30.00 each) , Limit Order",Bought,10.0,Y,30.0,300.0,-940.0,35.0,70.0,10.0,700.0
530,2023-03-05,2023-03-05 19:36:12.374000+05:30,24959,od_1677385001579315,-640.0," Bought 10.00 shares x N (Rs. 64.00 each) , Limit Order",Bought,10.0,N,64.0,640.0,-1580.0,69.0,36.0,10.0,360.0
529,2023-03-05,2023-03-05 19:36:47.879000+05:30,24959,od_1677385001579311,300.0," Cancelled 10.00 shares x Y (Rs. 30.00 each) , ",Cancelled,10.0,Y,30.0,300.0,-1280.0,35.0,70.0,-10.0,-700.0
528,2023-03-05,2023-03-05 19:36:48.587000+05:30,24959,od_1677385001579334,-320.0," Bought 10.00 shares x Y (Rs. 32.00 each) , Limit Order",Bought,10.0,Y,32.0,320.0,-1600.0,37.0,68.0,10.0,680.0
527,2023-03-05,2023-03-05 19:37:27.568000+05:30,24959,od_1677385001579315,640.0," Cancelled 10.00 shares x N (Rs. 64.00 each) , ",Cancelled,10.0,N,64.0,640.0,-960.0,69.0,36.0,-10.0,-360.0
526,2023-03-05,2023-03-05 19:37:28.283000+05:30,24959,od_1677385001579374,-630.0," Bought 10.00 shares x N (Rs. 63.00 each) , Limit Order",Bought,10.0,N,63.0,630.0,-1590.0,68.0,37.0,10.0,370.0
525,2023-03-05,2023-03-05 19:37:59.266000+05:30,24959,od_1677385001579334,288.0," Cancelled 9.00 shares x Y (Rs. 32.00 each) , ",Cancelled,9.0,Y,32.0,288.0,-1302.0,37.0,68.0,-9.0,-612.0
524,2023-03-05,2023-03-05 19:38:00.012000+05:30,24959,od_1677385001579397,-310.0," Bought 10.00 shares x Y (Rs. 31.00 each) , Limit Order",Bought,10.0,Y,31.0,310.0,-1612.0,36.0,69.0,10.0,690.0
