,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
6,2023-03-03,2023-03-03 14:11:54.878000+05:30,24632,od_1677385001536818,-200.0," Bought 5.00 shares x Y (Rs. 40.00 each) , Limit Order",Bought,5.0,Y,40.0,200.0,-200.0,45.0,60.0,5.0,300.0
5,2023-03-03,2023-03-03 14:12:10.151000+05:30,24632,od_1677385001536837,-250.0," Bought 5.00 shares x N (Rs. 50.00 each) , Limit Order",Bought,5.0,N,50.0,250.0,-450.0,55.0,50.0,5.0,250.0
4,2023-03-03,2023-03-03 14:13:38.991000+05:30,24632,od_1677385001536886,-200.0," Bought 5.00 shares x Y (Rs. 40.00 each) , Limit Order",Bought,5.0,Y,40.0,200.0,-650.0,45.0,60.0,5.0,300.0
3,2023-03-03,2023-03-03 14:15:47.342000+05:30,24632,od_1677385001537026,-50.0," Bought 1.00 shares x Y (Rs. 50.00 each) , Market Order",Bought,1.0,Y,50.0,50.0,-700.0,55.0,50.0,1.0,50.0
2,2023-03-03,2023-03-03 14:16:50.580000+05:30,24632,od_1677385001537064,-250.0," Bought 5.00 shares x N (Rs. 50.00 each) , Limit Order",Bought,5.0,N,50.0,250.0,-950.0,55.0,50.0,5.0,250.0
1,2023-03-03,2023-03-03 14:18:19.424000+05:30,24632,od_1677385001537120,-210.0," Bought 5.00 shares x Y (Rs. 42.00 each) , Limit Order",Bought,5.0,Y,42.0,210.0,-1160.0,47.0,58.0,5.0,290.0
0,2023-03-03,2023-03-03 14:18:35.408000+05:30,24632,od_1677385001537136,-240.0," Bought 5.00 shares x N (Rs. 48.00 each) , Limit Order",Bought,5.0,N,48.0,240.0,-1400.0,53.0,52.0,5.0,260.0
