,AllTotalQty,BuyTotalQty,SellTotalQty,YesTotalQty,NoTotalQty,YesBuyTotalQty,YesSellTotalQty,NoBuyTotalQty,NoSellTotalQty,AllMaxQty,BuyMaxQty,SellMaxQty,YesMaxQty,NoMaxQty,YesBuyMaxQty,YesSellMaxQty,NoBuyMaxQty,NoSellMaxQty,AllMinQty,BuyMinQty,SellMinQty,YesMinQty,NoMinQty,YesBuyMinQty,YesSellMinQty,NoBuyMinQty,NoSellMinQty,AllAvgQty,BuyAvgQty,SellAvgQty,YesAvgQty,NoAvgQty,YesBuyAvgQty,YesSellAvgQty,NoBuyAvgQty,NoSellAvgQty,AllTradeCount,BuyTradeCount,SellTradeCount,YesTradeCount,NoTradeCount,YesBuyTradeCount,YesSellTradeCount,NoBuyTradeCount,NoSellTradeCount,AllMaxPrice,BuyMaxPrice,SellMaxPrice,YesMaxPrice,NoMaxPrice,YesBuyMaxPrice,YesSellMaxPrice,NoBuyMaxPrice,NoSellMaxPrice,AllMinPrice,BuyMinPrice,SellMinPrice,YesMinPrice,NoMinPrice,YesBuyMinPrice,YesSellMinPrice,NoBuyMinPrice,NoSellMinPrice,AllAvgPrice,BuyAvgPrice,SellAvgPrice,YesAvgPrice,NoAvgPrice,YesBuyAvgPrice,YesSellAvgPrice,NoBuyAvgPrice,NoSellAvgPrice,ScalpTotalPnL,ScalpYesPnL,ScalpNoPnL,OverallPnL
9590,1094.0,547.0,547.0,80.0,1014.0,40.0,40.0,507.0,507.0,47.0,32.0,47.0,14.0,47.0,14.0,10.0,32.0,47.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.945652173913044,6.670731707317073,5.362745098039215,6.666666666666667,5.895348837209302,8.0,5.714285714285714,6.584415584415584,5.336842105263158,184,82,102,12,172,5,7,77,95,99.0,98.0,99.0,40.0,99.0,39.0,40.0,98.0,99.0,22.0,31.0,22.0,22.0,56.0,31.0,22.0,62.0,56.0,73.92934782608695,75.07317073170732,73.00980392156863,31.916666666666668,76.86046511627907,33.4,30.857142857142858,77.77922077922078,76.11578947368422,-1228.0,-162.0,-1066.0,-1422.8100000000006
7807,9.0,3.0,6.0,4.0,5.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.2857142857142858,1.0,1.5,2.0,1.0,,2.0,1.0,1.0,7,3,4,2,5,0,2,3,2,69.0,67.0,69.0,30.0,69.0,,30.0,67.0,69.0,1.0,1.0,30.0,30.0,1.0,,30.0,1.0,62.0,45.57142857142857,42.666666666666664,47.75,30.0,51.8,,30.0,42.666666666666664,65.5,123.0,120.0,3.0,123.4
9520,652.0,354.0,298.0,652.0,0.0,354.0,298.0,0.0,0.0,40.0,40.0,28.0,40.0,,40.0,28.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,7.494252873563219,11.0625,5.418181818181818,7.494252873563219,,11.0625,5.418181818181818,,,87,32,55,87,0,32,55,0,0,99.0,99.0,99.0,99.0,,99.0,99.0,,,72.0,76.0,72.0,72.0,,76.0,72.0,,,85.14942528735632,85.71875,84.81818181818181,85.14942528735632,,85.71875,84.81818181818181,,,-5279.0,-5279.0,0.0,111.59999999999945
9521,332.0,166.0,166.0,332.0,0.0,166.0,166.0,0.0,0.0,40.0,40.0,37.0,40.0,,40.0,37.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,7.904761904761905,10.375,6.384615384615385,7.904761904761905,,10.375,6.384615384615385,,,42,16,26,42,0,16,26,0,0,96.0,96.0,96.0,96.0,,96.0,96.0,,,77.0,81.0,77.0,77.0,,81.0,77.0,,,89.54761904761905,90.3125,89.07692307692308,89.54761904761905,,90.3125,89.07692307692308,,,-190.0,-190.0,0.0,-255.54999999999836
9473,448.0,224.0,224.0,376.0,72.0,188.0,188.0,36.0,36.0,45.0,36.0,45.0,45.0,36.0,34.0,45.0,36.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,8.296296296296296,11.789473684210526,6.4,8.0,10.285714285714286,10.444444444444445,6.482758620689655,36.0,6.0,54,19,35,47,7,18,29,1,6,99.0,97.0,99.0,99.0,25.0,97.0,99.0,23.0,25.0,23.0,23.0,25.0,75.0,23.0,75.0,77.0,23.0,25.0,82.01851851851852,87.3157894736842,79.14285714285714,90.55319148936171,24.714285714285715,90.88888888888889,90.34482758620689,23.0,25.0,15.0,-57.0,72.0,-49.030000000000655
9474,1230.0,615.0,615.0,1040.0,190.0,520.0,520.0,95.0,95.0,61.0,61.0,55.0,61.0,40.0,61.0,55.0,40.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.72340425531915,11.826923076923077,6.910112359550562,9.454545454545455,6.129032258064516,13.0,7.428571428571429,7.916666666666667,5.0,141,52,89,110,31,40,70,12,19,98.0,98.0,96.0,98.0,57.0,98.0,96.0,56.0,57.0,35.0,37.0,35.0,62.0,35.0,62.0,63.0,37.0,35.0,71.59574468085107,72.17307692307692,71.25842696629213,78.24545454545455,48.0,78.35,78.18571428571428,51.583333333333336,45.73684210526316,-1240.0,-1000.0,-240.0,-1667.8100000000004
9458,612.0,307.0,305.0,572.0,40.0,286.0,286.0,21.0,19.0,32.0,32.0,11.0,32.0,8.0,32.0,11.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.9282296650717705,3.411111111111111,2.563025210084034,2.948453608247423,2.6666666666666665,3.364705882352941,2.623853211009174,4.2,1.9,209,90,119,194,15,85,109,5,10,99.0,99.0,98.0,99.0,57.0,99.0,98.0,55.0,57.0,42.0,43.0,42.0,43.0,42.0,43.0,43.0,45.0,42.0,70.13875598086125,72.94444444444444,68.01680672268908,71.58247422680412,51.46666666666667,74.21176470588236,69.53211009174312,51.4,51.5,-510.0,-373.0,-137.0,-533.1999999999994
9457,672.0,336.0,336.0,384.0,288.0,192.0,192.0,144.0,144.0,38.0,38.0,28.0,38.0,38.0,38.0,28.0,38.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.280373831775701,9.882352941176471,4.602739726027397,5.907692307692308,6.857142857142857,9.142857142857142,4.363636363636363,11.076923076923077,4.9655172413793105,107,34,73,65,42,21,44,13,29,68.0,68.0,68.0,62.0,68.0,62.0,62.0,68.0,68.0,28.0,31.0,28.0,28.0,42.0,31.0,28.0,42.0,43.0,50.35514018691589,51.23529411764706,49.945205479452056,47.61538461538461,54.595238095238095,49.142857142857146,46.88636363636363,54.61538461538461,54.58620689655172,-295.0,-258.0,-37.0,-415.30000000000064
9441,266.0,178.0,88.0,176.0,90.0,103.0,73.0,75.0,15.0,30.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.1891891891891895,12.714285714285714,3.8260869565217392,6.285714285714286,10.0,11.444444444444445,3.8421052631578947,15.0,3.75,37,14,23,28,9,9,19,5,4,96.0,96.0,79.0,96.0,57.0,96.0,79.0,57.0,55.0,21.0,21.0,25.0,39.0,21.0,61.0,39.0,21.0,25.0,59.351351351351354,58.857142857142854,59.65217391304348,66.85714285714286,36.0,71.77777777777777,64.52631578947368,35.6,36.5,-4426.0,-3021.0,-1405.0,-1591.1399999999999
9442,538.0,269.0,269.0,276.0,262.0,138.0,138.0,131.0,131.0,22.0,22.0,22.0,22.0,14.0,22.0,22.0,14.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.075757575757576,6.404761904761905,2.988888888888889,5.0181818181818185,3.4025974025974026,8.625,3.5384615384615383,5.038461538461538,2.5686274509803924,132,42,90,55,77,16,39,26,51,88.0,87.0,88.0,88.0,76.0,87.0,88.0,76.0,72.0,22.0,29.0,22.0,34.0,22.0,46.0,34.0,29.0,22.0,55.984848484848484,58.095238095238095,55.0,62.61818181818182,51.246753246753244,63.8125,62.12820512820513,54.57692307692308,49.549019607843135,-498.0,-257.0,-241.0,-617.3299999999995
