,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
9,2023-03-03,2023-03-03 13:56:33.829000+05:30,24612,od_1677385001536190,-230.0," Bought 5.00 shares x Y (Rs. 46.00 each) , Limit Order",Bought,5.0,Y,46.0,230.0,-230.0,51.0,54.0,5.0,270.0
8,2023-03-03,2023-03-03 13:56:51.376000+05:30,24612,od_1677385001536194,-220.0," Bought 5.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,5.0,N,44.0,220.0,-450.0,49.0,56.0,5.0,280.0
7,2023-03-03,2023-03-03 13:58:21.643000+05:30,24612,od_1677385001536190,184.0," Cancelled 4.00 shares x Y (Rs. 46.00 each) , ",Cancelled,4.0,Y,46.0,184.0,-266.0,51.0,54.0,-4.0,-216.0
6,2023-03-03,2023-03-03 13:58:23.093000+05:30,24612,od_1677385001536219,-230.0," Bought 5.00 shares x Y (Rs. 46.00 each) , Limit Order",Bought,5.0,Y,46.0,230.0,-496.0,51.0,54.0,5.0,270.0
5,2023-03-03,2023-03-03 13:58:39.475000+05:30,24612,od_1677385001536194,88.0," Cancelled 2.00 shares x N (Rs. 44.00 each) , ",Cancelled,2.0,N,44.0,88.0,-408.0,49.0,56.0,-2.0,-112.0
4,2023-03-03,2023-03-03 13:58:40.765000+05:30,24612,od_1677385001536226,-220.0," Bought 5.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,5.0,N,44.0,220.0,-628.0,49.0,56.0,5.0,280.0
3,2023-03-03,2023-03-03 14:01:53.847000+05:30,24612,od_1677385001536219,138.0," Cancelled 3.00 shares x Y (Rs. 46.00 each) , ",Cancelled,3.0,Y,46.0,138.0,-490.0,51.0,54.0,-3.0,-162.0
2,2023-03-03,2023-03-03 14:01:55.365000+05:30,24612,od_1677385001536310,-250.0," Bought 5.00 shares x Y (Rs. 50.00 each) , Limit Order",Bought,5.0,Y,50.0,250.0,-740.0,55.0,50.0,5.0,250.0
1,2023-03-03,2023-03-03 14:02:10.513000+05:30,24612,od_1677385001536330,-200.0," Bought 5.00 shares x N (Rs. 40.00 each) , Limit Order",Bought,5.0,N,40.0,200.0,-940.0,45.0,60.0,5.0,300.0
0,2023-03-03,2023-03-03 14:12:10.814000+05:30,24612,,800.0,Settled (Rs. 800.00 credited),Settled,,,,,-140.0,,,,
