,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
6,2023-03-05,2023-03-05 16:37:58.229000+05:30,24868,od_1677385001569981,-910.0," Bought 10.00 shares x Y (Rs. 91.00 each) , Limit Order",Bought,10.0,Y,91.0,910.0,-910.0,96.0,9.0,10.0,90.0
5,2023-03-05,2023-03-05 16:38:32.367000+05:30,24868,od_1677385001570010,-920.0," Bought 10.00 shares x Y (Rs. 92.00 each) , Limit Order",Bought,10.0,Y,92.0,920.0,-1830.0,97.0,8.0,10.0,80.0
4,2023-03-05,2023-03-05 16:39:09.038000+05:30,24868,od_1677385001570029,-910.0," Bought 10.00 shares x Y (Rs. 91.00 each) , Limit Order",Bought,10.0,Y,91.0,910.0,-2740.0,96.0,9.0,10.0,90.0
3,2023-03-05,2023-03-05 16:39:43.434000+05:30,24868,od_1677385001570056,-910.0," Bought 10.00 shares x Y (Rs. 91.00 each) , Limit Order",Bought,10.0,Y,91.0,910.0,-3650.0,96.0,9.0,10.0,90.0
2,2023-03-05,2023-03-05 16:40:23.323000+05:30,24868,od_1677385001570073,-910.0," Bought 10.00 shares x Y (Rs. 91.00 each) , Limit Order",Bought,10.0,Y,91.0,910.0,-4560.0,96.0,9.0,10.0,90.0
1,2023-03-05,2023-03-05 16:40:59.941000+05:30,24868,od_1677385001570087,-356.0," Bought 4.00 shares x Y (Rs. 89.00 each) , Limit Order",Bought,4.0,Y,89.0,356.0,-4916.0,94.0,11.0,4.0,44.0
0,2023-03-05,2023-03-05 18:51:08.522000+05:30,24868,,5400.0,Settled (Rs. 5400.00 credited),Settled,,,,,484.0,,,,
