,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
654,2023-03-07,2023-03-07 19:40:54.986000+05:30,25236,od_1677385001654156,-480.0," Bought 10.00 shares x Y (Rs. 48.00 each) , Limit Order",Bought,10.0,Y,48.0,480.0,-480.0,53.0,52.0,10.0,520.0
653,2023-03-07,2023-03-07 19:41:02.084000+05:30,25236,od_1677385001654183,-450.0," Bought 10.00 shares x N (Rs. 45.00 each) , Limit Order",Bought,10.0,N,45.0,450.0,-930.0,50.0,55.0,10.0,550.0
652,2023-03-07,2023-03-07 19:41:35.397000+05:30,25236,od_1677385001654156,480.0," Cancelled 10.00 shares x Y (Rs. 48.00 each) , ",Cancelled,10.0,Y,48.0,480.0,-450.0,53.0,52.0,-10.0,-520.0
651,2023-03-07,2023-03-07 19:41:36.133000+05:30,25236,od_1677385001654296,-500.0," Bought 10.00 shares x Y (Rs. 50.00 each) , Limit Order",Bought,10.0,Y,50.0,500.0,-950.0,55.0,50.0,10.0,500.0
650,2023-03-07,2023-03-07 19:41:44.125000+05:30,25236,od_1677385001654322,-450.0," Bought 10.00 shares x N (Rs. 45.00 each) , Limit Order",Bought,10.0,N,45.0,450.0,-1400.0,50.0,55.0,10.0,550.0
649,2023-03-07,2023-03-07 19:42:17.470000+05:30,25236,od_1677385001654296,450.0," Cancelled 9.00 shares x Y (Rs. 50.00 each) , ",Cancelled,9.0,Y,50.0,450.0,-950.0,55.0,50.0,-9.0,-450.0
648,2023-03-07,2023-03-07 19:42:18.178000+05:30,25236,od_1677385001654445,-490.0," Bought 10.00 shares x Y (Rs. 49.00 each) , Limit Order",Bought,10.0,Y,49.0,490.0,-1440.0,54.0,51.0,10.0,510.0
647,2023-03-07,2023-03-07 19:43:02.445000+05:30,25236,od_1677385001654562,-510.0," Bought 10.00 shares x Y (Rs. 51.00 each) , Limit Order",Bought,10.0,Y,51.0,510.0,-1950.0,56.0,49.0,10.0,490.0
646,2023-03-07,2023-03-07 19:43:09.155000+05:30,25236,od_1677385001654322,450.0," Cancelled 10.00 shares x N (Rs. 45.00 each) , ",Cancelled,10.0,N,45.0,450.0,-1500.0,50.0,55.0,-10.0,-550.0
645,2023-03-07,2023-03-07 19:43:09.839000+05:30,25236,od_1677385001654584,-430.0," Bought 10.00 shares x N (Rs. 43.00 each) , Limit Order",Bought,10.0,N,43.0,430.0,-1930.0,48.0,57.0,10.0,570.0
644,2023-03-07,2023-03-07 19:43:42.882000+05:30,25236,od_1677385001654692,-500.0," Bought 10.00 shares x Y (Rs. 50.00 each) , Limit Order",Bought,10.0,Y,50.0,500.0,-2430.0,55.0,50.0,10.0,500.0
643,2023-03-07,2023-03-07 19:43:50.329000+05:30,25236,od_1677385001654584,344.0," Cancelled 8.00 shares x N (Rs. 43.00 each) , ",Cancelled,8.0,N,43.0,344.0,-2086.0,48.0,57.0,-8.0,-456.0
642,2023-03-07,2023-03-07 19:43:51.038000+05:30,25236,od_1677385001654734,-440.0," Bought 10.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,10.0,N,44.0,440.0,-2526.0,49.0,56.0,10.0,560.0
641,2023-03-07,2023-03-07 19:44:25.672000+05:30,25236,od_1677385001654692,250.0," Cancelled 5.00 shares x Y (Rs. 50.00 each) , ",Cancelled,5.0,Y,50.0,250.0,-2276.0,55.0,50.0,-5.0,-250.0
640,2023-03-07,2023-03-07 19:44:26.369000+05:30,25236,od_1677385001654836,-540.0," Bought 10.00 shares x Y (Rs. 54.00 each) , Limit Order",Bought,10.0,Y,54.0,540.0,-2816.0,59.0,46.0,10.0,460.0
639,2023-03-07,2023-03-07 19:44:35.073000+05:30,25236,od_1677385001654734,44.0," Cancelled 1.00 shares x N (Rs. 44.00 each) , ",Cancelled,1.0,N,44.0,44.0,-2772.0,49.0,56.0,-1.0,-56.0
