,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
384,2023-03-04,2023-03-04 18:47:34.101000+05:30,24796,od_1677385001554485,-450.0," Bought 10.00 shares x Y (Rs. 45.00 each) , Limit Order",Bought,10.0,Y,45.0,450.0,-450.0,50.0,55.0,10.0,550.0
383,2023-03-04,2023-03-04 18:47:46.250000+05:30,24796,od_1677385001554489,-430.0," Bought 10.00 shares x N (Rs. 43.00 each) , Limit Order",Bought,10.0,N,43.0,430.0,-880.0,48.0,57.0,10.0,570.0
382,2023-03-04,2023-03-04 18:50:42.794000+05:30,24796,od_1677385001554485,450.0," Cancelled 10.00 shares x Y (Rs. 45.00 each) , ",Cancelled,10.0,Y,45.0,450.0,-430.0,50.0,55.0,-10.0,-550.0
381,2023-03-04,2023-03-04 18:50:44.367000+05:30,24796,od_1677385001554489,430.0," Cancelled 10.00 shares x N (Rs. 43.00 each) , ",Cancelled,10.0,N,43.0,430.0,0.0,48.0,57.0,-10.0,-570.0
380,2023-03-04,2023-03-04 18:54:17.184000+05:30,24796,od_1677385001554549,-480.0," Bought 10.00 shares x Y (Rs. 48.00 each) , Limit Order",Bought,10.0,Y,48.0,480.0,-480.0,53.0,52.0,10.0,520.0
379,2023-03-04,2023-03-04 18:54:28.889000+05:30,24796,od_1677385001554555,-430.0," Bought 10.00 shares x N (Rs. 43.00 each) , Limit Order",Bought,10.0,N,43.0,430.0,-910.0,48.0,57.0,10.0,570.0
378,2023-03-04,2023-03-04 18:56:07.676000+05:30,24796,od_1677385001554549,144.0," Cancelled 3.00 shares x Y (Rs. 48.00 each) , ",Cancelled,3.0,Y,48.0,144.0,-766.0,53.0,52.0,-3.0,-156.0
377,2023-03-04,2023-03-04 18:56:08.380000+05:30,24796,od_1677385001554579,-480.0," Bought 10.00 shares x Y (Rs. 48.00 each) , Limit Order",Bought,10.0,Y,48.0,480.0,-1246.0,53.0,52.0,10.0,520.0
376,2023-03-04,2023-03-04 18:56:19.514000+05:30,24796,od_1677385001554555,430.0," Cancelled 10.00 shares x N (Rs. 43.00 each) , ",Cancelled,10.0,N,43.0,430.0,-816.0,48.0,57.0,-10.0,-570.0
375,2023-03-04,2023-03-04 18:56:20.232000+05:30,24796,od_1677385001554583,-440.0," Bought 10.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,10.0,N,44.0,440.0,-1256.0,49.0,56.0,10.0,560.0
374,2023-03-04,2023-03-04 18:59:03.570000+05:30,24796,od_1677385001554583,440.0," Cancelled 10.00 shares x N (Rs. 44.00 each) , ",Cancelled,10.0,N,44.0,440.0,-816.0,49.0,56.0,-10.0,-560.0
373,2023-03-04,2023-03-04 18:59:04.290000+05:30,24796,od_1677385001554607,-430.0," Bought 10.00 shares x N (Rs. 43.00 each) , Limit Order",Bought,10.0,N,43.0,430.0,-1246.0,48.0,57.0,10.0,570.0
372,2023-03-04,2023-03-04 19:00:50.002000+05:30,24796,od_1677385001554579,480.0," Cancelled 10.00 shares x Y (Rs. 48.00 each) , ",Cancelled,10.0,Y,48.0,480.0,-766.0,53.0,52.0,-10.0,-520.0
371,2023-03-04,2023-03-04 19:00:50.733000+05:30,24796,od_1677385001554612,-470.0," Bought 10.00 shares x Y (Rs. 47.00 each) , Limit Order",Bought,10.0,Y,47.0,470.0,-1236.0,52.0,53.0,10.0,530.0
370,2023-03-04,2023-03-04 19:01:54.609000+05:30,24796,od_1677385001554607,430.0," Cancelled 10.00 shares x N (Rs. 43.00 each) , ",Cancelled,10.0,N,43.0,430.0,-806.0,48.0,57.0,-10.0,-570.0
369,2023-03-04,2023-03-04 19:01:55.379000+05:30,24796,od_1677385001554615,-440.0," Bought 10.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,10.0,N,44.0,440.0,-1246.0,49.0,56.0,10.0,560.0
368,2023-03-04,2023-03-04 19:02:38.506000+05:30,24796,od_1677385001554612,376.0," Cancelled 8.00 shares x Y (Rs. 47.00 each) , ",Cancelled,8.0,Y,47.0,376.0,-870.0,52.0,53.0,-8.0,-424.0
367,2023-03-04,2023-03-04 19:02:39.247000+05:30,24796,od_1677385001554628,-440.0," Bought 10.00 shares x Y (Rs. 44.00 each) , Limit Order",Bought,10.0,Y,44.0,440.0,-1310.0,49.0,56.0,10.0,560.0
366,2023-03-04,2023-03-04 19:02:50.515000+05:30,24796,od_1677385001554615,440.0," Cancelled 10.00 shares x N (Rs. 44.00 each) , ",Cancelled,10.0,N,44.0,440.0,-870.0,49.0,56.0,-10.0,-560.0
365,2023-03-04,2023-03-04 19:02:51.226000+05:30,24796,od_1677385001554635,-480.0," Bought 10.00 shares x N (Rs. 48.00 each) , Limit Order",Bought,10.0,N,48.0,480.0,-1350.0,53.0,52.0,10.0,520.0
364,2023-03-04,2023-03-04 19:03:35.317000+05:30,24796,od_1677385001554628,440.0," Cancelled 10.00 shares x Y (Rs. 44.00 each) , ",Cancelled,10.0,Y,44.0,440.0,-910.0,49.0,56.0,-10.0,-560.0
363,2023-03-04,2023-03-04 19:03:36.085000+05:30,24796,od_1677385001554646,-450.0," Bought 10.00 shares x Y (Rs. 45.00 each) , Limit Order",Bought,10.0,Y,45.0,450.0,-1360.0,50.0,55.0,10.0,550.0
362,2023-03-04,2023-03-04 19:03:47.577000+05:30,24796,od_1677385001554648,-480.0," Bought 10.00 shares x N (Rs. 48.00 each) , Limit Order",Bought,10.0,N,48.0,480.0,-1840.0,53.0,52.0,10.0,520.0
361,2023-03-04,2023-03-04 19:04:41.919000+05:30,24796,od_1677385001554646,450.0," Cancelled 10.00 shares x Y (Rs. 45.00 each) , ",Cancelled,10.0,Y,45.0,450.0,-1390.0,50.0,55.0,-10.0,-550.0
360,2023-03-04,2023-03-04 19:05:07.702000+05:30,24796,od_1677385001554669,-440.0," Bought 10.00 shares x Y (Rs. 44.00 each) , Limit Order",Bought,10.0,Y,44.0,440.0,-1830.0,49.0,56.0,10.0,560.0
359,2023-03-04,2023-03-04 19:05:19.340000+05:30,24796,od_1677385001554675,-480.0," Bought 10.00 shares x N (Rs. 48.00 each) , Limit Order",Bought,10.0,N,48.0,480.0,-2310.0,53.0,52.0,10.0,520.0
358,2023-03-04,2023-03-04 19:06:13.297000+05:30,24796,od_1677385001554675,432.0," Cancelled 9.00 shares x N (Rs. 48.00 each) , ",Cancelled,9.0,N,48.0,432.0,-1878.0,53.0,52.0,-9.0,-468.0
357,2023-03-04,2023-03-04 19:06:14.008000+05:30,24796,od_1677385001554696,-490.0," Bought 10.00 shares x N (Rs. 49.00 each) , Limit Order",Bought,10.0,N,49.0,490.0,-2368.0,54.0,51.0,10.0,510.0
356,2023-03-04,2023-03-04 19:06:56.914000+05:30,24796,od_1677385001554669,440.0," Cancelled 10.00 shares x Y (Rs. 44.00 each) , ",Cancelled,10.0,Y,44.0,440.0,-1928.0,49.0,56.0,-10.0,-560.0
355,2023-03-04,2023-03-04 19:06:57.623000+05:30,24796,od_1677385001554707,-430.0," Bought 10.00 shares x Y (Rs. 43.00 each) , Limit Order",Bought,10.0,Y,43.0,430.0,-2358.0,48.0,57.0,10.0,570.0
354,2023-03-04,2023-03-04 19:08:54.798000+05:30,24796,od_1677385001554733,-490.0," Bought 10.00 shares x N (Rs. 49.00 each) , Limit Order",Bought,10.0,N,49.0,490.0,-2848.0,54.0,51.0,10.0,510.0
