,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
4520,2022-11-11,2022-11-11 15:22:15.469000+05:30,11926,od_kxy80Cio,-390.0, Bought 15.00 shares x N (Rs. 26.00 each),Bought,15.0,N,26.0
4519,2022-11-11,2022-11-11 15:22:31.483000+05:30,11926,od_FtqqNfbt,-390.0, Bought 15.00 shares x N (Rs. 26.00 each),Bought,15.0,N,26.0
4517,2022-11-11,2022-11-11 15:25:26.718000+05:30,11926,od_FtqqNfbt,390.0, Cancelled 15.00 shares x N (Rs. 26.00 each),Cancelled,15.0,N,26.0
4516,2022-11-11,2022-11-11 15:25:28.057000+05:30,11926,od_kxy80Cio,390.0, Cancelled 15.00 shares x N (Rs. 26.00 each),Cancelled,15.0,N,26.0
4515,2022-11-11,2022-11-11 15:25:29.380000+05:30,11926,od_KNSFOJkD,-465.0, Bought 15.00 shares x N (Rs. 31.00 each),Bought,15.0,N,31.0
4513,2022-11-11,2022-11-11 15:27:06.170000+05:30,11926,od_KNSFOJkD,465.0, Cancelled 15.00 shares x N (Rs. 31.00 each),Cancelled,15.0,N,31.0
4512,2022-11-11,2022-11-11 15:27:07.529000+05:30,11926,od_4X1USSjd,-480.32, Bought 15.00 shares x N (Rs. 32.00 each),Bought,15.0,N,32.0
4511,2022-11-11,2022-11-11 15:27:11.583000+05:30,11926,od_4X1USSjd,448.0, Cancelled 14.00 shares x N (Rs. 32.00 each),Cancelled,14.0,N,32.0
4510,2022-11-11,2022-11-11 15:27:12.916000+05:30,11926,od_3ejw2yaq,-480.0, Bought 15.00 shares x N (Rs. 32.00 each),Bought,15.0,N,32.0
4505,2022-11-11,2022-11-11 15:28:57.633000+05:30,11926,od_3ejw2yaq,480.0, Cancelled 15.00 shares x N (Rs. 32.00 each),Cancelled,15.0,N,32.0
4504,2022-11-11,2022-11-11 15:28:58.969000+05:30,11926,od_GPlFZNSX,-448.0, Bought 14.00 shares x N (Rs. 32.00 each),Bought,14.0,N,32.0
4498,2022-11-11,2022-11-11 15:30:54.110000+05:30,11926,od_VICkmQQp,-810.0, Bought 15.00 shares x Y (Rs. 54.00 each),Bought,15.0,Y,54.0
4493,2022-11-11,2022-11-11 15:32:56.326000+05:30,11926,od_VICkmQQp,810.0, Cancelled 15.00 shares x Y (Rs. 54.00 each),Cancelled,15.0,Y,54.0
4458,2022-11-11,2022-11-11 16:09:59.580000+05:30,11926,od_9CzHTXND,66.0, Sold 2.00 shares x N (Rs. 33.00 each),Sold,2.0,N,33.0
4451,2022-11-11,2022-11-11 16:12:23.272000+05:30,11926,od_ugHbThz7,-60.0, Bought 2.00 shares x N (Rs. 30.00 each),Bought,2.0,N,30.0
4349,2022-11-11,2022-11-11 17:06:27.328000+05:30,11926,od_q2GhtibU,15.0, Sold 1.00 shares x N (Rs. 15.00 each),Sold,1.0,N,15.0
4344,2022-11-11,2022-11-11 17:07:14.072000+05:30,11926,od_q2GhtibU,15.0, Sold 1.00 shares x N (Rs. 15.00 each),Sold,1.0,N,15.0
4343,2022-11-11,2022-11-11 17:07:14.072000+05:30,11926,od_fJZXbaY2,-15.15, Bought 1.00 shares x N (Rs. 15.00 each),Bought,1.0,N,15.0
4338,2022-11-11,2022-11-11 17:09:00.597000+05:30,11926,od_q2GhtibU,15.0, Sold 1.00 shares x N (Rs. 15.00 each),Sold,1.0,N,15.0
4337,2022-11-11,2022-11-11 17:09:00.597000+05:30,11926,od_UhM6de6a,-15.15, Bought 1.00 shares x N (Rs. 15.00 each),Bought,1.0,N,15.0
4326,2022-11-11,2022-11-11 17:10:56.930000+05:30,11926,od_efUe0epU,-14.0, Bought 1.00 shares x N (Rs. 14.00 each),Bought,1.0,N,14.0
4318,2022-11-11,2022-11-11 17:14:29.494000+05:30,11926,od_efUe0epU,14.0, Cancelled 1.00 shares x N (Rs. 14.00 each),Cancelled,1.0,N,14.0
4317,2022-11-11,2022-11-11 17:14:30.823000+05:30,11926,od_p360id9I,15.0, Sold 1.00 shares x N (Rs. 15.00 each),Sold,1.0,N,15.0
4316,2022-11-11,2022-11-11 17:14:30.823000+05:30,11926,od_cHjAGxn7,-15.15, Bought 1.00 shares x N (Rs. 15.00 each),Bought,1.0,N,15.0
4313,2022-11-11,2022-11-11 17:16:17.884000+05:30,11926,od_SHNY8G9L,15.0, Sold 1.00 shares x N (Rs. 15.00 each),Sold,1.0,N,15.0
4312,2022-11-11,2022-11-11 17:16:17.884000+05:30,11926,od_ITCcVVeG,-15.15, Bought 1.00 shares x N (Rs. 15.00 each),Bought,1.0,N,15.0
4304,2022-11-11,2022-11-11 17:18:11.807000+05:30,11926,od_5yB70e8f,-14.0, Bought 1.00 shares x N (Rs. 14.00 each),Bought,1.0,N,14.0
4275,2022-11-11,2022-11-11 17:28:56.094000+05:30,11926,od_5yB70e8f,14.0, Cancelled 1.00 shares x N (Rs. 14.00 each),Cancelled,1.0,N,14.0
4274,2022-11-11,2022-11-11 17:28:57.442000+05:30,11926,od_ZtTbBgQU,-17.0, Bought 1.00 shares x N (Rs. 17.00 each),Bought,1.0,N,17.0
4250,2022-11-11,2022-11-11 17:37:57.716000+05:30,11926,od_ZtTbBgQU,17.0, Cancelled 1.00 shares x N (Rs. 17.00 each),Cancelled,1.0,N,17.0
4249,2022-11-11,2022-11-11 17:37:59.057000+05:30,11926,od_pA5FIs5R,-18.18, Bought 1.00 shares x N (Rs. 18.00 each),Bought,1.0,N,18.0
4248,2022-11-11,2022-11-11 17:39:36.840000+05:30,11926,od_srosUHlD,-18.18, Bought 1.00 shares x N (Rs. 18.00 each),Bought,1.0,N,18.0
