,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
13,2023-03-02,2023-03-02 18:23:34.806000+05:30,24545,od_1677385001531381,-250.0," Bought 5.00 shares x Y (Rs. 50.00 each) , Limit Order",Bought,5.0,Y,50.0,250.0,-250.0,55.0,50.0,5.0,250.0
12,2023-03-02,2023-03-02 18:23:50.286000+05:30,24545,od_1677385001531392,-200.0," Bought 5.00 shares x N (Rs. 40.00 each) , Limit Order",Bought,5.0,N,40.0,200.0,-450.0,45.0,60.0,5.0,300.0
11,2023-03-02,2023-03-02 18:28:34.673000+05:30,24545,od_1677385001531616,-205.0," Bought 5.00 shares x Y (Rs. 41.00 each) , Limit Order",Bought,5.0,Y,41.0,205.0,-655.0,46.0,59.0,5.0,295.0
10,2023-03-02,2023-03-02 18:28:50.605000+05:30,24545,od_1677385001531635,-245.0," Bought 5.00 shares x N (Rs. 49.00 each) , Limit Order",Bought,5.0,N,49.0,245.0,-900.0,54.0,51.0,5.0,255.0
9,2023-03-02,2023-03-02 18:29:21.415000+05:30,24545,od_1677385001531674,-245.0," Bought 5.00 shares x N (Rs. 49.00 each) , Limit Order",Bought,5.0,N,49.0,245.0,-1145.0,54.0,51.0,5.0,255.0
8,2023-03-02,2023-03-02 18:30:44.426000+05:30,24545,od_1677385001531616,164.0," Cancelled 4.00 shares x Y (Rs. 41.00 each) , ",Cancelled,4.0,Y,41.0,164.0,-981.0,46.0,59.0,-4.0,-236.0
7,2023-03-02,2023-03-02 18:30:45.668000+05:30,24545,od_1677385001531724,-240.0," Bought 5.00 shares x Y (Rs. 48.00 each) , Limit Order",Bought,5.0,Y,48.0,240.0,-1221.0,53.0,52.0,5.0,260.0
6,2023-03-02,2023-03-02 18:31:03.290000+05:30,24545,od_1677385001531734,-210.0," Bought 5.00 shares x N (Rs. 42.00 each) , Limit Order",Bought,5.0,N,42.0,210.0,-1431.0,47.0,58.0,5.0,290.0
5,2023-03-02,2023-03-02 18:31:33.995000+05:30,24545,od_1677385001531760,-210.0," Bought 5.00 shares x N (Rs. 42.00 each) , Limit Order",Bought,5.0,N,42.0,210.0,-1641.0,47.0,58.0,5.0,290.0
4,2023-03-02,2023-03-02 18:33:25.063000+05:30,24545,od_1677385001531724,240.0," Cancelled 5.00 shares x Y (Rs. 48.00 each) , ",Cancelled,5.0,Y,48.0,240.0,-1401.0,53.0,52.0,-5.0,-260.0
3,2023-03-02,2023-03-02 18:33:27.644000+05:30,24545,od_1677385001531845,-160.0," Bought 5.00 shares x Y (Rs. 32.00 each) , Limit Order",Bought,5.0,Y,32.0,160.0,-1561.0,37.0,68.0,5.0,340.0
2,2023-03-02,2023-03-02 18:33:46.326000+05:30,24545,od_1677385001531866,-290.0," Bought 5.00 shares x N (Rs. 58.00 each) , Limit Order",Bought,5.0,N,58.0,290.0,-1851.0,63.0,42.0,5.0,210.0
1,2023-03-02,2023-03-02 18:34:18.253000+05:30,24545,od_1677385001531888,-290.0," Bought 5.00 shares x N (Rs. 58.00 each) , Limit Order",Bought,5.0,N,58.0,290.0,-2141.0,63.0,42.0,5.0,210.0
0,2023-03-02,2023-03-02 18:37:14.929000+05:30,24545,,760.0,Settled (Rs. 760.00 credited),Settled,,,,,-1381.0,,,,
