,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
422,2023-03-05,2023-03-05 19:37:58.037000+05:30,24961,od_1677385001579392,-440.0," Bought 10.00 shares x Y (Rs. 44.00 each) , Limit Order",Bought,10.0,Y,44.0,440.0,-440.0,49.0,56.0,10.0,560.0
421,2023-03-05,2023-03-05 19:38:04.455000+05:30,24961,od_1677385001579400,-500.0," Bought 10.00 shares x N (Rs. 50.00 each) , Limit Order",Bought,10.0,N,50.0,500.0,-940.0,55.0,50.0,10.0,500.0
420,2023-03-05,2023-03-05 19:42:30.753000+05:30,24961,od_1677385001579392,440.0," Cancelled 10.00 shares x Y (Rs. 44.00 each) , ",Cancelled,10.0,Y,44.0,440.0,-500.0,49.0,56.0,-10.0,-560.0
419,2023-03-05,2023-03-05 19:42:51.447000+05:30,24961,od_1677385001579681,-440.0," Bought 10.00 shares x Y (Rs. 44.00 each) , Limit Order",Bought,10.0,Y,44.0,440.0,-940.0,49.0,56.0,10.0,560.0
418,2023-03-05,2023-03-05 19:42:57.827000+05:30,24961,od_1677385001579687,-520.0," Bought 10.00 shares x N (Rs. 52.00 each) , Limit Order",Bought,10.0,N,52.0,520.0,-1460.0,57.0,48.0,10.0,480.0
417,2023-03-05,2023-03-05 19:43:29.574000+05:30,24961,od_1677385001579681,308.0," Cancelled 7.00 shares x Y (Rs. 44.00 each) , ",Cancelled,7.0,Y,44.0,308.0,-1152.0,49.0,56.0,-7.0,-392.0
416,2023-03-05,2023-03-05 19:43:31.335000+05:30,24961,od_1677385001579714,-440.0," Bought 10.00 shares x Y (Rs. 44.00 each) , Limit Order",Bought,10.0,Y,44.0,440.0,-1592.0,49.0,56.0,10.0,560.0
415,2023-03-05,2023-03-05 19:43:37.539000+05:30,24961,od_1677385001579722,-510.0," Bought 10.00 shares x N (Rs. 51.00 each) , Limit Order",Bought,10.0,N,51.0,510.0,-2102.0,56.0,49.0,10.0,490.0
414,2023-03-05,2023-03-05 19:44:08.249000+05:30,24961,od_1677385001579714,440.0," Cancelled 10.00 shares x Y (Rs. 44.00 each) , ",Cancelled,10.0,Y,44.0,440.0,-1662.0,49.0,56.0,-10.0,-560.0
413,2023-03-05,2023-03-05 19:44:09.705000+05:30,24961,od_1677385001579750,-370.0," Bought 10.00 shares x Y (Rs. 37.00 each) , Limit Order",Bought,10.0,Y,37.0,370.0,-2032.0,42.0,63.0,10.0,630.0
412,2023-03-05,2023-03-05 19:44:16.122000+05:30,24961,od_1677385001579722,204.0," Cancelled 4.00 shares x N (Rs. 51.00 each) , ",Cancelled,4.0,N,51.0,204.0,-1828.0,56.0,49.0,-4.0,-196.0
411,2023-03-05,2023-03-05 19:44:16.908000+05:30,24961,od_1677385001579754,-610.0," Bought 10.00 shares x N (Rs. 61.00 each) , Limit Order",Bought,10.0,N,61.0,610.0,-2438.0,66.0,39.0,10.0,390.0
410,2023-03-05,2023-03-05 19:44:49.443000+05:30,24961,od_1677385001579750,370.0," Cancelled 10.00 shares x Y (Rs. 37.00 each) , ",Cancelled,10.0,Y,37.0,370.0,-2068.0,42.0,63.0,-10.0,-630.0
409,2023-03-05,2023-03-05 19:44:50.168000+05:30,24961,od_1677385001579773,-360.0," Bought 10.00 shares x Y (Rs. 36.00 each) , Limit Order",Bought,10.0,Y,36.0,360.0,-2428.0,41.0,64.0,10.0,640.0
408,2023-03-05,2023-03-05 19:44:56.407000+05:30,24961,od_1677385001579777,-580.0," Bought 10.00 shares x N (Rs. 58.00 each) , Limit Order",Bought,10.0,N,58.0,580.0,-3008.0,63.0,42.0,10.0,420.0
407,2023-03-05,2023-03-05 19:45:40.030000+05:30,24961,od_1677385001579819,-590.0," Bought 10.00 shares x N (Rs. 59.00 each) , Limit Order",Bought,10.0,N,59.0,590.0,-3598.0,64.0,41.0,10.0,410.0
406,2023-03-05,2023-03-05 19:46:13.143000+05:30,24961,od_1677385001579773,360.0," Cancelled 10.00 shares x Y (Rs. 36.00 each) , ",Cancelled,10.0,Y,36.0,360.0,-3238.0,41.0,64.0,-10.0,-640.0
405,2023-03-05,2023-03-05 19:46:13.861000+05:30,24961,od_1677385001579853,-350.0," Bought 10.00 shares x Y (Rs. 35.00 each) , Limit Order",Bought,10.0,Y,35.0,350.0,-3588.0,40.0,65.0,10.0,650.0
404,2023-03-05,2023-03-05 19:46:22.237000+05:30,24961,od_1677385001579859,-600.0," Bought 10.00 shares x N (Rs. 60.00 each) , Limit Order",Bought,10.0,N,60.0,600.0,-4188.0,65.0,40.0,10.0,400.0
403,2023-03-05,2023-03-05 19:46:53.924000+05:30,24961,od_1677385001579853,315.0," Cancelled 9.00 shares x Y (Rs. 35.00 each) , ",Cancelled,9.0,Y,35.0,315.0,-3873.0,40.0,65.0,-9.0,-585.0
