,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
4222,2022-11-11,2022-11-11 17:59:12.622000+05:30,11929,od_rAqfiVPZ,-375.0, Bought 15.00 shares x Y (Rs. 25.00 each),Bought,15.0,Y,25.0
4221,2022-11-11,2022-11-11 17:59:15.478000+05:30,11929,od_4izp0Ums,60.0, Cancelled 1.00 shares x N (Rs. 60.00 each),Cancelled,1.0,N,60.0
4208,2022-11-11,2022-11-11 18:02:49.092000+05:30,11929,od_C8aUd0iJ,-900.0, Bought 15.00 shares x N (Rs. 60.00 each),Bought,15.0,N,60.0
4207,2022-11-11,2022-11-11 18:02:51.914000+05:30,11929,od_rAqfiVPZ,375.0, Cancelled 15.00 shares x Y (Rs. 25.00 each),Cancelled,15.0,Y,25.0
4197,2022-11-11,2022-11-11 18:04:51.135000+05:30,11929,od_HoX8lChI,-390.0, Bought 15.00 shares x Y (Rs. 26.00 each),Bought,15.0,Y,26.0
4196,2022-11-11,2022-11-11 18:04:53.951000+05:30,11929,od_C8aUd0iJ,900.0, Cancelled 15.00 shares x N (Rs. 60.00 each),Cancelled,15.0,N,60.0
4179,2022-11-11,2022-11-11 18:10:27.871000+05:30,11929,od_HoX8lChI,390.0, Cancelled 15.00 shares x Y (Rs. 26.00 each),Cancelled,15.0,Y,26.0
4178,2022-11-11,2022-11-11 18:10:29.219000+05:30,11929,od_8tbCHLgP,-435.0, Bought 15.00 shares x Y (Rs. 29.00 each),Bought,15.0,Y,29.0
4170,2022-11-11,2022-11-11 18:13:57.250000+05:30,11929,od_LEDoBNWc,-1015.05, Bought 15.00 shares x N (Rs. 67.00 each),Bought,15.0,N,67.0
4169,2022-11-11,2022-11-11 18:14:00.092000+05:30,11929,od_8tbCHLgP,435.0, Cancelled 15.00 shares x Y (Rs. 29.00 each),Cancelled,15.0,Y,29.0
4168,2022-11-11,2022-11-11 18:14:02.425000+05:30,11929,od_gDCM4Pep,-1005.0, Bought 15.00 shares x N (Rs. 67.00 each),Bought,15.0,N,67.0
4160,2022-11-11,2022-11-11 18:17:58.840000+05:30,11929,od_p4WW1Kjh,68.0, Sold 1.00 shares x N (Rs. 68.00 each),Sold,1.0,N,68.0
4151,2022-11-11,2022-11-11 18:23:49.867000+05:30,11929,od_SdRArQUX,136.0, Sold 2.00 shares x N (Rs. 68.00 each),Sold,2.0,N,68.0
4142,2022-11-11,2022-11-11 18:34:23.034000+05:30,11929,od_wZcNwRjE,396.0, Sold 9.00 shares x N (Rs. 44.00 each),Sold,9.0,N,44.0
4139,2022-11-11,2022-11-11 18:38:23.036000+05:30,11929,od_iSQSmQDK,410.0, Sold 10.00 shares x N (Rs. 41.00 each),Sold,10.0,N,41.0
4138,2022-11-11,2022-11-11 18:38:31.284000+05:30,11929,od_iSQSmQDK,328.0, Sold 8.00 shares x N (Rs. 41.00 each),Sold,8.0,N,41.0
4137,2022-11-11,2022-11-11 18:39:06.219000+05:30,11929,od_foNXCazz,-600.0, Bought 15.00 shares x N (Rs. 40.00 each),Bought,15.0,N,40.0
4120,2022-11-11,2022-11-11 18:47:49.074000+05:30,11929,od_foNXCazz,600.0, Cancelled 15.00 shares x N (Rs. 40.00 each),Cancelled,15.0,N,40.0
4119,2022-11-11,2022-11-11 18:47:50.555000+05:30,11929,od_54MNw4Kr,-826.1, Bought 15.00 shares x N (Rs. 55.00 each),Bought,15.0,N,55.0
4118,2022-11-11,2022-11-11 18:47:54.429000+05:30,11929,od_54MNw4Kr,715.0, Cancelled 13.00 shares x N (Rs. 55.00 each),Cancelled,13.0,N,55.0
4117,2022-11-11,2022-11-11 18:47:55.778000+05:30,11929,od_9LD32mGL,-825.0, Bought 15.00 shares x N (Rs. 55.00 each),Bought,15.0,N,55.0
4114,2022-11-11,2022-11-11 18:49:37.359000+05:30,11929,od_BwETgBnN,-525.0, Bought 15.00 shares x Y (Rs. 35.00 each),Bought,15.0,Y,35.0
4113,2022-11-11,2022-11-11 18:49:40.249000+05:30,11929,od_9LD32mGL,660.0, Cancelled 12.00 shares x N (Rs. 55.00 each),Cancelled,12.0,N,55.0
4112,2022-11-11,2022-11-11 18:49:42.612000+05:30,11929,od_AxbwqRVy,55.44, Sold 1.00 shares x N (Rs. 56.00 each),Sold,1.0,N,56.0
4111,2022-11-11,2022-11-11 18:49:42.612000+05:30,11929,od_AxbwqRVy,55.44, Sold 1.00 shares x N (Rs. 56.00 each),Sold,1.0,N,56.0
4110,2022-11-11,2022-11-11 18:49:42.612000+05:30,11929,od_AxbwqRVy,55.44, Sold 1.00 shares x N (Rs. 56.00 each),Sold,1.0,N,56.0
