,timestamp_12180,yesfp_12180,timestamp_12179,yesfp_12179,timestamp_12178,yesfp_12178,timestamp_12177,yesfp_12177,timestamp_12149,yesfp_12149,timestamp_12148,yesfp_12148,timestamp_12147,yesfp_12147,timestamp_12146,yesfp_12146
14,2022-11-17 16:12:21.727,5.849406319840811,2022-11-17 16:09:53.009,32.75367434368772,2022-11-17 15:48:50.970,61.3135896305406,2022-11-17 16:00:48.533,88.90771068064,2022-11-16 16:11:36.931,2.708785477007474,2022-11-16 16:11:23.390,28.075232080984538,2022-11-16 16:11:02.827,53.69661784681062,2022-11-16 16:06:30.483,81.99486481205136
15,2022-11-17 16:14:30.593,6.677229951343793,2022-11-17 16:12:03.718,33.16758615943921,2022-11-17 15:50:00.999,61.589530841041594,2022-11-17 16:02:58.385,89.0456812858905,2022-11-16 16:13:55.176,6.277933742893694,2022-11-16 16:13:44.036,31.51691076594625,2022-11-16 16:13:20.393,56.24600946530077,2022-11-16 16:08:33.254,80.21029067910825
16,2022-11-17 16:16:43.964,7.780994793347769,2022-11-17 16:14:11.669,33.9954097909422,2022-11-17 16:01:07.096,62.14141326204358,2022-11-17 16:05:06.054,88.21785765438752,2022-11-16 16:16:01.440,7.935038294912296,2022-11-16 16:15:45.555,33.30148489888936,2022-11-16 16:15:28.307,58.66793150286642,2022-11-16 16:10:44.912,79.3180036126367
17,2022-11-17 16:18:59.241,8.19490660909926,2022-11-17 16:16:25.228,35.37511584344716,2022-11-17 16:03:15.668,61.3135896305406,2022-11-17 16:07:09.250,87.66597523338552,2022-11-16 16:18:09.858,8.954794942308359,2022-11-16 16:17:52.229,34.57618070813444,2022-11-16 16:17:34.813,59.942627312111505,2022-11-16 16:12:58.091,81.48498648835333
18,2022-11-17 16:21:16.023,7.780994793347769,2022-11-17 16:18:41.581,35.65105705394816,2022-11-17 16:05:23.481,60.62373660428811,2022-11-17 16:09:17.012,87.66597523338552,2022-11-16 16:20:18.845,7.297690390289757,2022-11-16 16:20:01.514,32.919076156115835,2022-11-16 16:19:43.929,58.66793150286642,2022-11-16 16:15:13.348,84.03437810684349
19,2022-11-17 16:23:26.093,7.091141767095284,2022-11-17 16:20:58.859,35.51308644869766,2022-11-17 16:07:26.411,60.07185418328613,2022-11-17 16:11:27.337,88.07988704913701,2022-11-16 16:22:28.893,5.895525000120171,2022-11-16 16:22:10.668,31.644380346870758,2022-11-16 16:21:52.260,57.39323569362134,2022-11-16 16:17:18.909,84.92666517331504
20,2022-11-17 16:25:44.585,6.401288740842799,2022-11-17 16:23:12.674,34.68526281719468,2022-11-17 16:09:34.863,60.20982478853662,2022-11-17 16:13:36.042,89.0456812858905,2022-11-16 16:24:38.502,5.385646676422139,2022-11-16 16:24:19.450,30.87956286132371,2022-11-16 16:24:01.550,56.373479046225285,2022-11-16 16:19:29.184,84.41678684961701
21,2022-11-17 16:27:54.272,6.539259346093296,2022-11-17 16:25:24.819,34.13338039619269,2022-11-17 16:11:45.844,60.62373660428811,2022-11-17 16:15:46.881,90.28741673314497,2022-11-16 16:26:46.418,5.130707514573123,2022-11-16 16:26:28.857,30.624623699474697,2022-11-16 16:26:10.668,56.11853988437627,2022-11-16 16:21:37.451,83.26956062129643
22,2022-11-17 16:30:07.628,6.401288740842799,2022-11-17 16:27:41.559,34.13338039619269,2022-11-17 16:13:53.463,61.589530841041594,2022-11-17 16:18:04.295,90.83929915414696,2022-11-16 16:28:46.731,5.6405858382711545,2022-11-16 16:28:32.783,31.134502023172725,2022-11-16 16:28:15.167,56.50094862714979,2022-11-16 16:23:46.328,81.99486481205136
23,2022-11-17 16:32:21.015,6.263318135592302,2022-11-17 16:29:49.184,33.9954097909422,2022-11-17 16:16:04.182,62.831266288296064,2022-11-17 16:20:18.604,90.97726975939744,2022-11-16 16:30:53.736,6.277933742893694,2022-11-16 16:30:36.884,31.51691076594625,2022-11-16 16:30:18.965,57.01082695084782,2022-11-16 16:25:55.711,81.61245606927784
24,2022-11-17 16:34:37.525,6.539259346093296,2022-11-17 16:32:03.236,33.857439185691696,2022-11-17 16:18:21.173,63.245178104047554,2022-11-17 16:22:34.084,90.14944612789446,2022-11-16 16:32:52.243,7.425159971214264,2022-11-16 16:32:40.387,32.791606575191324,2022-11-16 16:32:22.838,58.15805317916839,2022-11-16 16:28:03.656,81.99486481205136
25,2022-11-17 16:36:47.235,7.505053582846775,2022-11-17 16:34:19.562,33.9954097909422,2022-11-17 16:20:37.751,63.245178104047554,2022-11-17 16:24:46.622,89.59756370689247,2022-11-16 16:34:53.327,8.31744703768582,2022-11-16 16:34:38.913,33.683893641662884,2022-11-16 16:34:21.157,59.050340245639944,2022-11-16 16:30:06.524,82.37727355482488
