INFO:strat7:2022-12-08 15:26:22,646:13477: Initialising event
CRITICAL:strat7:2022-12-08 15:26:45,980:13477: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-08 15:26:48,134:13477: last_values_dict empty
INFO:strat7:2022-12-08 15:26:54,297:13478: Initialising event
CRITICAL:strat7:2022-12-08 15:27:23,237:13478: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-08 15:27:25,358:13478: last_values_dict empty
INFO:strat7:2022-12-08 15:27:31,197:13479: Initialising event
CRITICAL:strat7:2022-12-08 15:27:59,237:13479: No my_buy_price unavailable
WARNING:strat7:2022-12-08 15:28:01,319:13479: last_values_dict empty
INFO:strat7:2022-12-08 15:28:07,206:13480: Initialising event
CRITICAL:strat7:2022-12-08 15:28:27,745:13480: No my_buy_price unavailable
WARNING:strat7:2022-12-08 15:28:29,827:13480: last_values_dict empty
CRITICAL:strat7:2022-12-08 15:28:50,215:13477: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:28:53,682:13477: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:29:17,269:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:29:20,727:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:29:43,268:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:29:46,594:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:30:11,962:13480: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:30:14,674:13480: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:31:40,226:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:31:43,688:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:32:08,633:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:32:12,132:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:32:39,155:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:32:42,776:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:33:05,134:13480: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:34:23,752:13480: No my_buy_price unavailable
INFO:strat7:2022-12-08 15:35:56,851:13477: Initialising event
CRITICAL:strat7:2022-12-08 15:36:20,567:13477: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-08 15:36:22,588:13477: last_values_dict empty
INFO:strat7:2022-12-08 15:36:28,281:13478: Initialising event
CRITICAL:strat7:2022-12-08 15:36:51,549:13478: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-08 15:36:53,625:13478: last_values_dict empty
INFO:strat7:2022-12-08 15:36:59,346:13479: Initialising event
CRITICAL:strat7:2022-12-08 15:37:20,681:13479: No my_buy_price unavailable
WARNING:strat7:2022-12-08 15:37:22,787:13479: last_values_dict empty
INFO:strat7:2022-12-08 15:37:28,474:13480: Initialising event
WARNING:strat7:2022-12-08 15:37:47,569:13480: last_values_dict empty
CRITICAL:strat7:2022-12-08 15:38:09,491:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:38:13,601:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:38:37,918:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:38:41,267:13478: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:39:07,352:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:39:10,785:13479: No my_buy_price unavailable
CRITICAL:strat7:2022-12-08 15:41:05,824:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:41:09,710:13477: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-08 15:41:33,655:13478: Yes my_avgbuy_price unavailable
