INFO:strat7:2023-01-01 15:04:07,533:15218: Initialising event
CRITICAL:strat7:2023-01-01 15:04:46,613:15218: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:04:48,946:15218: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-01 15:04:50,843:15218: last_values_dict empty
INFO:strat7:2023-01-01 15:04:57,481:15219: Initialising event
CRITICAL:strat7:2023-01-01 15:05:30,850:15219: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:05:33,047:15219: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-01 15:05:34,313:15219: last_values_dict empty
INFO:strat7:2023-01-01 15:05:40,431:15220: Initialising event
CRITICAL:strat7:2023-01-01 15:06:13,997:15220: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:06:16,271:15220: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-01 15:06:17,587:15220: last_values_dict empty
INFO:strat7:2023-01-01 15:06:24,027:15221: Initialising event
CRITICAL:strat7:2023-01-01 15:06:55,084:15221: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:06:57,320:15221: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-01 15:06:58,748:15221: last_values_dict empty
INFO:strat7:2023-01-01 15:07:05,092:15222: Initialising event
CRITICAL:strat7:2023-01-01 15:07:36,710:15222: No my_buy_price unavailable
CRITICAL:strat7:2023-01-01 15:07:38,927:15222: No my_buy_price unavailable
WARNING:strat7:2023-01-01 15:07:40,239:15222: last_values_dict empty
INFO:strat7:2023-01-01 15:07:46,388:15223: Initialising event
CRITICAL:strat7:2023-01-01 15:08:18,086:15223: No my_buy_price unavailable
CRITICAL:strat7:2023-01-01 15:08:20,304:15223: No my_buy_price unavailable
WARNING:strat7:2023-01-01 15:08:21,654:15223: last_values_dict empty
INFO:strat7:2023-01-01 15:08:27,835:15224: Initialising event
CRITICAL:strat7:2023-01-01 15:08:58,749:15224: No my_buy_price unavailable
CRITICAL:strat7:2023-01-01 15:09:00,952:15224: No my_buy_price unavailable
WARNING:strat7:2023-01-01 15:09:02,373:15224: last_values_dict empty
INFO:strat7:2023-01-01 15:09:08,608:15225: Initialising event
CRITICAL:strat7:2023-01-01 15:09:41,875:15225: No my_buy_price unavailable
CRITICAL:strat7:2023-01-01 15:09:44,216:15225: No my_buy_price unavailable
WARNING:strat7:2023-01-01 15:09:45,655:15225: last_values_dict empty
CRITICAL:strat7:2023-01-01 15:10:19,471:15218: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:10:21,767:15218: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:10:26,863:15218: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:10:29,217:15218: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:11:01,470:15219: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:11:03,716:15219: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:11:08,473:15219: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:11:10,761:15219: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-01 15:11:45,824:15220: Yes my_avgbuy_price unavailable
