INFO:strat7:2023-01-10 15:13:55,537:16042: Initialising event
CRITICAL:strat7:2023-01-10 15:14:35,589:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:14:38,435:16042: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:14:40,009:16042: last_values_dict empty
INFO:strat7:2023-01-10 15:14:46,557:16041: Initialising event
CRITICAL:strat7:2023-01-10 15:15:25,728:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:15:28,760:16041: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:15:30,731:16041: last_values_dict empty
INFO:strat7:2023-01-10 15:15:37,156:16040: Initialising event
CRITICAL:strat7:2023-01-10 15:16:11,086:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:16:13,904:16040: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:16:15,381:16040: last_values_dict empty
INFO:strat7:2023-01-10 15:16:21,873:16039: Initialising event
CRITICAL:strat7:2023-01-10 15:16:56,636:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:16:59,996:16039: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:17:02,071:16039: last_values_dict empty
INFO:strat7:2023-01-10 15:17:08,537:16038: Initialising event
INFO:strat7:2023-01-10 15:18:36,138:16035: Initialising event
CRITICAL:strat7:2023-01-10 15:19:13,989:16035: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:19:16,826:16035: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-10 15:19:18,370:16035: last_values_dict empty
INFO:strat7:2023-01-10 15:19:24,776:16036: Initialising event
CRITICAL:strat7:2023-01-10 15:20:03,312:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:20:06,698:16036: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-10 15:20:08,680:16036: last_values_dict empty
INFO:strat7:2023-01-10 15:20:15,197:16037: Initialising event
CRITICAL:strat7:2023-01-10 15:20:50,249:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:20:53,410:16037: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-10 15:20:55,354:16037: last_values_dict empty
INFO:strat7:2023-01-10 15:21:01,872:16038: Initialising event
CRITICAL:strat7:2023-01-10 15:21:38,748:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:21:41,664:16038: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-10 15:21:43,189:16038: last_values_dict empty
INFO:strat7:2023-01-10 15:21:49,710:16039: Initialising event
CRITICAL:strat7:2023-01-10 15:22:25,063:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:22:27,675:16039: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:22:29,394:16039: last_values_dict empty
INFO:strat7:2023-01-10 15:22:35,591:16040: Initialising event
CRITICAL:strat7:2023-01-10 15:23:12,290:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:23:15,442:16040: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:23:17,369:16040: last_values_dict empty
INFO:strat7:2023-01-10 15:23:23,692:16041: Initialising event
CRITICAL:strat7:2023-01-10 15:24:06,967:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:24:09,630:16041: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:24:11,198:16041: last_values_dict empty
INFO:strat7:2023-01-10 15:24:17,392:16042: Initialising event
CRITICAL:strat7:2023-01-10 15:25:00,471:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:25:03,528:16042: No my_buy_price unavailable
WARNING:strat7:2023-01-10 15:25:05,492:16042: last_values_dict empty
CRITICAL:strat7:2023-01-10 15:26:36,163:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:26:39,012:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:26:43,013:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:26:46,158:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:27:29,624:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:27:32,693:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:27:36,388:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:27:39,550:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:28:15,133:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:28:17,870:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:28:20,781:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:28:25,681:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:29:06,563:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:29:12,703:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:29:16,457:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:29:19,536:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:29:58,653:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:01,373:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:05,151:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:07,943:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:45,855:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:48,486:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:52,433:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:30:55,214:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:31:29,364:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:31:32,180:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:31:36,168:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:31:38,956:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:34:13,121:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:34:15,894:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:34:19,879:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:34:22,467:16036: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:34:59,878:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:02,588:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:05,691:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:08,434:16037: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:48,281:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:51,038:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:54,358:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:35:57,086:16038: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-10 15:36:38,382:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:36:41,464:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:36:45,805:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:36:48,923:16039: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:37:28,389:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:37:30,990:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:37:34,111:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:37:36,775:16040: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:38:10,791:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:38:13,537:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:38:17,361:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:38:20,134:16041: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:39:06,394:16042: No my_buy_price unavailable
CRITICAL:strat7:2023-01-10 15:39:09,847:16042: No my_buy_price unavailable
