INFO:strat7:2022-11-20 15:20:13,524:12358: Initialising event
INFO:strat7:2022-11-20 15:20:18,212:12359: Initialising event
CRITICAL:strat7:2022-11-20 15:20:33,667:12359: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-20 15:20:35,434:12359: last_values_dict empty
INFO:strat7:2022-11-20 15:20:41,536:12360: Initialising event
INFO:strat7:2022-11-20 15:20:45,299:12361: Initialising event
CRITICAL:strat7:2022-11-20 15:21:01,056:12358: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-20 15:21:02,985:12358: last_values_dict empty
CRITICAL:strat7:2022-11-20 15:21:16,723:12359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:21:19,739:12359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:22:41,059:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:22:43,389:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:22:57,673:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:23:00,714:12359: No my_buy_price unavailable
WARNING:strat7:2022-11-20 15:23:14,929:12360: last_values_dict empty
CRITICAL:strat7:2022-11-20 15:23:31,085:12361: No my_buy_price unavailable
WARNING:strat7:2022-11-20 15:23:32,743:12361: last_values_dict empty
CRITICAL:strat7:2022-11-20 15:24:46,271:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:24:49,022:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:25:06,496:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:25:08,810:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:25:27,442:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:25:48,250:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:25:50,807:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:09,654:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:12,035:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:27,414:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:30,373:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:50,482:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:27:52,878:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:28:12,490:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:28:14,788:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:29:29,310:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:29:31,493:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:29:47,025:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:29:49,784:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:30:08,551:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:30:10,631:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:30:25,777:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:30:28,444:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:31:46,668:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:31:49,119:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:05,028:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:07,833:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:25,144:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:28,010:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:44,376:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:32:47,175:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:01,788:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:03,989:12358: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:18,872:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:21,685:12359: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:36,510:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:39,251:12360: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:54,602:12361: No my_buy_price unavailable
CRITICAL:strat7:2022-11-20 15:34:57,322:12361: No my_buy_price unavailable
