INFO:strat7:2022-11-22 15:38:20,406:12461: Initialising event
INFO:strat7:2022-11-22 15:38:24,505:12462: Initialising event
CRITICAL:strat7:2022-11-22 15:38:39,069:12462: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-22 15:38:40,718:12462: last_values_dict empty
INFO:strat7:2022-11-22 15:38:48,435:12463: Initialising event
CRITICAL:strat7:2022-11-22 15:39:08,206:12463: No my_buy_price unavailable
WARNING:strat7:2022-11-22 15:39:10,111:12463: last_values_dict empty
INFO:strat7:2022-11-22 15:39:17,173:12464: Initialising event
CRITICAL:strat7:2022-11-22 15:39:31,096:12464: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-22 15:39:32,743:12464: last_values_dict empty
CRITICAL:strat7:2022-11-22 15:39:51,445:12462: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:39:54,377:12462: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:40:13,146:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:40:16,257:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:40:33,466:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:40:36,212:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:41:55,397:12462: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:41:58,134:12462: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:42:23,204:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:42:26,340:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:42:49,307:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:42:52,890:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:44:16,114:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:44:20,384:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:44:40,062:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:44:43,240:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:44:59,572:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:45:02,282:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:46:21,138:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:46:23,891:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:46:46,475:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:46:49,757:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:47:07,052:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:47:09,761:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:48:27,476:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:48:30,318:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:48:48,207:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:48:51,001:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:49:08,214:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:49:10,959:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:50:30,963:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:50:33,892:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:50:51,321:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:50:54,388:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:51:13,475:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:51:16,725:12464: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-22 15:52:38,861:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:52:41,753:12462: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:53:00,178:12463: No my_buy_price unavailable
CRITICAL:strat7:2022-11-22 15:53:02,915:12463: No my_buy_price unavailable
