INFO:strat7:2023-01-06 15:19:57,801:15654: Initialising event
CRITICAL:strat7:2023-01-06 15:20:35,058:15654: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:20:37,613:15654: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-06 15:20:39,106:15654: last_values_dict empty
INFO:strat7:2023-01-06 15:20:45,730:15655: Initialising event
CRITICAL:strat7:2023-01-06 15:21:15,751:15655: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:21:18,133:15655: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-06 15:21:19,530:15655: last_values_dict empty
INFO:strat7:2023-01-06 15:21:25,908:15656: Initialising event
CRITICAL:strat7:2023-01-06 15:22:02,584:15656: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:22:05,646:15656: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-06 15:22:07,138:15656: last_values_dict empty
INFO:strat7:2023-01-06 15:22:13,360:15657: Initialising event
CRITICAL:strat7:2023-01-06 15:22:47,873:15657: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:22:50,268:15657: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-06 15:22:51,616:15657: last_values_dict empty
INFO:strat7:2023-01-06 15:22:57,901:15658: Initialising event
CRITICAL:strat7:2023-01-06 15:23:33,719:15658: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:23:36,018:15658: No my_buy_price unavailable
WARNING:strat7:2023-01-06 15:23:37,413:15658: last_values_dict empty
INFO:strat7:2023-01-06 15:23:43,635:15659: Initialising event
CRITICAL:strat7:2023-01-06 15:24:21,293:15659: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:24:23,740:15659: No my_buy_price unavailable
WARNING:strat7:2023-01-06 15:24:25,117:15659: last_values_dict empty
INFO:strat7:2023-01-06 15:24:31,237:15660: Initialising event
CRITICAL:strat7:2023-01-06 15:25:07,429:15660: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:25:09,850:15660: No my_buy_price unavailable
WARNING:strat7:2023-01-06 15:25:11,267:15660: last_values_dict empty
INFO:strat7:2023-01-06 15:25:17,519:15661: Initialising event
CRITICAL:strat7:2023-01-06 15:25:53,047:15661: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:25:57,561:15661: No my_buy_price unavailable
WARNING:strat7:2023-01-06 15:25:58,985:15661: last_values_dict empty
CRITICAL:strat7:2023-01-06 15:26:33,247:15654: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:26:35,637:15654: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:26:39,114:15654: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:26:41,505:15654: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:27:20,518:15655: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:27:22,946:15655: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:27:26,328:15655: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:27:28,684:15655: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:05,903:15656: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:08,418:15656: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:12,012:15656: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:14,413:15656: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:52,038:15657: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:54,478:15657: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:28:57,488:15657: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:29:00,124:15657: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-06 15:29:37,085:15658: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:29:39,459:15658: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:29:42,245:15658: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:29:44,650:15658: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:30:22,142:15659: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:30:24,684:15659: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:30:28,123:15659: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:30:30,558:15659: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:31:06,663:15660: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:31:09,096:15660: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:31:12,561:15660: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:31:15,009:15660: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:32:01,831:15661: No my_buy_price unavailable
CRITICAL:strat7:2023-01-06 15:32:04,430:15661: No my_buy_price unavailable
