INFO:strat7:2022-12-11 16:23:34,872:13715: Initialising event
CRITICAL:strat7:2022-12-11 16:23:54,172:13715: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:23:56,096:13715: last_values_dict empty
INFO:strat7:2022-12-11 16:24:02,466:13716: Initialising event
CRITICAL:strat7:2022-12-11 16:24:19,929:13716: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:24:21,679:13716: last_values_dict empty
INFO:strat7:2022-12-11 16:24:28,288:13717: Initialising event
CRITICAL:strat7:2022-12-11 16:24:48,137:13717: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-11 16:24:50,093:13717: last_values_dict empty
INFO:strat7:2022-12-11 16:24:56,572:13718: Initialising event
CRITICAL:strat7:2022-12-11 16:25:14,299:13718: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:25:16,661:13718: last_values_dict empty
INFO:strat7:2022-12-11 16:25:22,911:13719: Initialising event
CRITICAL:strat7:2022-12-11 16:25:43,403:13719: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:25:46,679:13719: last_values_dict empty
INFO:strat7:2022-12-11 16:25:52,734:13720: Initialising event
CRITICAL:strat7:2022-12-11 16:26:12,998:13720: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:26:14,867:13720: last_values_dict empty
INFO:strat7:2022-12-11 16:26:21,109:13721: Initialising event
CRITICAL:strat7:2022-12-11 16:26:41,120:13721: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:26:42,982:13721: last_values_dict empty
INFO:strat7:2022-12-11 16:26:49,382:13722: Initialising event
CRITICAL:strat7:2022-12-11 16:27:09,829:13722: No my_buy_price unavailable
WARNING:strat7:2022-12-11 16:27:11,740:13722: last_values_dict empty
CRITICAL:strat7:2022-12-11 16:27:31,614:13715: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:27:33,456:13715: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:27:55,241:13716: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:27:57,118:13716: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:28:20,207:13717: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-11 16:28:23,653:13717: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-11 16:28:45,511:13718: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:28:47,369:13718: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:29:10,003:13719: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:29:13,127:13719: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:29:35,839:13720: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:29:39,010:13720: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:30:03,928:13721: No my_buy_price unavailable
CRITICAL:strat7:2022-12-11 16:30:07,052:13721: No my_buy_price unavailable
