INFO:strat7:2022-12-21 15:15:12,937:14359: Initialising event
CRITICAL:strat7:2022-12-21 15:15:39,995:14359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:15:42,478:14359: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-21 15:15:43,746:14359: last_values_dict empty
INFO:strat7:2022-12-21 15:15:50,523:14360: Initialising event
CRITICAL:strat7:2022-12-21 15:16:16,152:14360: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:16:18,485:14360: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-21 15:16:19,726:14360: last_values_dict empty
INFO:strat7:2022-12-21 15:16:25,896:14361: Initialising event
CRITICAL:strat7:2022-12-21 15:16:54,419:14361: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:16:56,743:14361: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-21 15:16:58,267:14361: last_values_dict empty
INFO:strat7:2022-12-21 15:17:04,472:14362: Initialising event
CRITICAL:strat7:2022-12-21 15:17:30,694:14362: No my_buy_price unavailable
CRITICAL:strat7:2022-12-21 15:17:33,024:14362: No my_buy_price unavailable
WARNING:strat7:2022-12-21 15:17:34,181:14362: last_values_dict empty
INFO:strat7:2022-12-21 15:17:40,364:14363: Initialising event
WARNING:strat7:2022-12-21 15:18:00,045:14363: last_values_dict empty
INFO:strat7:2022-12-21 15:18:06,260:14364: Initialising event
WARNING:strat7:2022-12-21 15:18:26,510:14364: last_values_dict empty
INFO:strat7:2022-12-21 15:18:33,020:14365: Initialising event
WARNING:strat7:2022-12-21 15:18:54,702:14365: last_values_dict empty
INFO:strat7:2022-12-21 15:19:01,107:14366: Initialising event
WARNING:strat7:2022-12-21 15:19:23,861:14366: last_values_dict empty
CRITICAL:strat7:2022-12-21 15:19:51,267:14359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:19:53,433:14359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:19:56,366:14359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:19:58,453:14359: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:20:23,752:14360: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:20:25,960:14360: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:20:29,335:14360: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-21 15:20:31,704:14360: Yes my_avgbuy_price unavailable
