INFO:strat7:2022-11-17 15:17:25,008:12177: Initialising event
CRITICAL:strat7:2022-11-17 15:17:54,601:12177: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-17 15:17:56,317:12177: last_values_dict empty
INFO:strat7:2022-11-17 15:18:03,467:12178: Initialising event
WARNING:strat7:2022-11-17 15:18:12,316:12178: last_values_dict empty
INFO:strat7:2022-11-17 15:18:18,204:12179: Initialising event
INFO:strat7:2022-11-17 15:18:20,337:12180: Initialising event
CRITICAL:strat7:2022-11-17 15:18:30,440:12180: No my_buy_price unavailable
WARNING:strat7:2022-11-17 15:18:32,046:12180: last_values_dict empty
CRITICAL:strat7:2022-11-17 15:18:49,796:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:19:06,872:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:19:27,268:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:19:29,344:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:20:46,952:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:20:48,960:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:21:06,551:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:21:08,685:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:21:27,378:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:21:31,626:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:22:53,782:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:22:55,828:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:23:16,023:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:23:18,341:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:23:37,750:12179: No my_buy_price unavailable
WARNING:strat7:2022-11-17 15:23:39,419:12179: last_values_dict empty
CRITICAL:strat7:2022-11-17 15:24:01,913:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:24:03,922:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:25:19,405:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:25:21,492:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:25:39,546:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:25:41,562:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:26:00,564:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:26:03,028:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:26:22,949:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:26:25,003:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:27:40,221:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:27:42,492:12177: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:01,245:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:03,520:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:23,711:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:25,743:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:42,709:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:28:44,860:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:20,019:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:23,569:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:37,544:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:39,602:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:53,964:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:30:56,053:12180: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:32:35,762:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:33:01,080:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:33:03,756:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:34:53,065:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:34:56,885:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:35:16,174:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:35:18,652:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:37:13,159:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:37:15,161:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:37:33,537:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:37:35,568:12179: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:39:00,615:12177: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:39:03,626:12177: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 15:39:21,782:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:39:23,824:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:41:30,808:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:41:32,881:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:43:31,161:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:43:33,215:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:45:38,472:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:45:40,930:12178: Yes my_avgbuy_price unavailable
INFO:strat7:2022-11-17 15:48:15,114:12177: Initialising event
WARNING:strat7:2022-11-17 15:48:30,294:12177: last_values_dict empty
INFO:strat7:2022-11-17 15:48:35,841:12178: Initialising event
CRITICAL:strat7:2022-11-17 15:48:49,435:12178: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-17 15:48:50,969:12178: last_values_dict empty
INFO:strat7:2022-11-17 15:48:56,491:12179: Initialising event
WARNING:strat7:2022-11-17 15:49:11,074:12179: last_values_dict empty
INFO:strat7:2022-11-17 15:49:16,591:12180: Initialising event
WARNING:strat7:2022-11-17 15:49:27,830:12180: last_values_dict empty
CRITICAL:strat7:2022-11-17 15:49:56,733:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 15:49:59,337:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:00:43,973:12177: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:00:46,949:12177: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:01:04,293:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:03:11,820:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:03:14,237:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:05:19,416:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:05:21,926:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:07:22,136:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:07:24,889:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:09:30,702:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:09:33,363:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:11:41,805:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:11:44,316:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:13:49,254:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:13:51,847:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:16:00,162:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:16:02,704:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:16:20,035:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:16:23,652:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:18:17,023:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:18:19,680:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:20:36,186:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:20:53,877:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:20:57,324:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:22:48,205:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:22:50,733:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:25:01,471:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:25:04,971:12178: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:27:18,719:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:27:22,120:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:29:27,809:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:29:30,321:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:31:41,910:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:31:44,437:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:33:55,398:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:33:58,034:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:34:14,557:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:34:17,993:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:36:07,897:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:36:10,420:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:36:25,075:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:36:27,699:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:38:20,543:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:38:23,121:12178: No my_buy_price unavailable
CRITICAL:strat7:2022-11-17 16:38:37,425:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:38:40,434:12179: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-17 16:40:37,389:12178: Yes my_avgbuy_price unavailable
