INFO:strat7:2022-12-23 16:02:11,251:14521: Initialising event
CRITICAL:strat7:2022-12-23 16:02:36,975:14521: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:02:39,118:14521: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-23 16:02:40,345:14521: last_values_dict empty
INFO:strat7:2022-12-23 16:02:46,649:14522: Initialising event
CRITICAL:strat7:2022-12-23 16:03:16,724:14522: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:03:19,183:14522: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-23 16:03:20,695:14522: last_values_dict empty
INFO:strat7:2022-12-23 16:03:27,000:14523: Initialising event
CRITICAL:strat7:2022-12-23 16:03:54,889:14523: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:03:56,907:14523: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-23 16:03:58,541:14523: last_values_dict empty
INFO:strat7:2022-12-23 16:04:04,695:14524: Initialising event
CRITICAL:strat7:2022-12-23 16:04:32,536:14524: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:04:35,227:14524: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-23 16:04:36,450:14524: last_values_dict empty
INFO:strat7:2022-12-23 16:04:42,715:14525: Initialising event
CRITICAL:strat7:2022-12-23 16:05:09,911:14525: No my_buy_price unavailable
CRITICAL:strat7:2022-12-23 16:05:12,211:14525: No my_buy_price unavailable
WARNING:strat7:2022-12-23 16:05:13,376:14525: last_values_dict empty
INFO:strat7:2022-12-23 16:05:19,482:14526: Initialising event
CRITICAL:strat7:2022-12-23 16:05:48,640:14526: No my_buy_price unavailable
CRITICAL:strat7:2022-12-23 16:05:50,750:14526: No my_buy_price unavailable
WARNING:strat7:2022-12-23 16:05:51,856:14526: last_values_dict empty
INFO:strat7:2022-12-23 16:05:57,953:14527: Initialising event
CRITICAL:strat7:2022-12-23 16:06:26,245:14527: No my_buy_price unavailable
CRITICAL:strat7:2022-12-23 16:06:28,804:14527: No my_buy_price unavailable
WARNING:strat7:2022-12-23 16:06:30,193:14527: last_values_dict empty
INFO:strat7:2022-12-23 16:06:36,337:14528: Initialising event
CRITICAL:strat7:2022-12-23 16:07:01,331:14528: No my_buy_price unavailable
CRITICAL:strat7:2022-12-23 16:07:03,567:14528: No my_buy_price unavailable
WARNING:strat7:2022-12-23 16:07:04,907:14528: last_values_dict empty
CRITICAL:strat7:2022-12-23 16:07:31,576:14521: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:07:33,772:14521: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:07:36,758:14521: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:07:38,931:14521: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:07:59,860:14522: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:08:01,920:14522: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:08:05,487:14522: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:08:08,295:14522: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-23 16:08:30,565:14523: Yes my_avgbuy_price unavailable
