INFO:strat7:2023-01-07 15:07:58,391:15754: Initialising event
CRITICAL:strat7:2023-01-07 15:08:32,089:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:08:34,419:15754: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-07 15:08:35,743:15754: last_values_dict empty
INFO:strat7:2023-01-07 15:08:42,163:15755: Initialising event
CRITICAL:strat7:2023-01-07 15:09:14,958:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:09:17,295:15755: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-07 15:09:18,591:15755: last_values_dict empty
INFO:strat7:2023-01-07 15:09:24,805:15756: Initialising event
CRITICAL:strat7:2023-01-07 15:09:53,947:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:09:56,249:15756: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-07 15:09:57,560:15756: last_values_dict empty
INFO:strat7:2023-01-07 15:10:03,767:15757: Initialising event
CRITICAL:strat7:2023-01-07 15:10:34,917:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:10:37,216:15757: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-07 15:10:38,508:15757: last_values_dict empty
INFO:strat7:2023-01-07 15:10:44,676:15758: Initialising event
CRITICAL:strat7:2023-01-07 15:11:11,378:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:11:13,596:15758: No my_buy_price unavailable
WARNING:strat7:2023-01-07 15:11:14,898:15758: last_values_dict empty
INFO:strat7:2023-01-07 15:11:21,057:15759: Initialising event
CRITICAL:strat7:2023-01-07 15:11:50,451:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:11:52,653:15759: No my_buy_price unavailable
WARNING:strat7:2023-01-07 15:11:53,898:15759: last_values_dict empty
INFO:strat7:2023-01-07 15:12:00,180:15760: Initialising event
CRITICAL:strat7:2023-01-07 15:12:33,992:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:12:36,370:15760: No my_buy_price unavailable
WARNING:strat7:2023-01-07 15:12:37,644:15760: last_values_dict empty
INFO:strat7:2023-01-07 15:12:43,824:15761: Initialising event
CRITICAL:strat7:2023-01-07 15:13:16,959:15761: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:13:19,331:15761: No my_buy_price unavailable
WARNING:strat7:2023-01-07 15:13:20,638:15761: last_values_dict empty
CRITICAL:strat7:2023-01-07 15:13:57,028:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:13:59,297:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:02,591:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:04,806:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:38,988:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:41,442:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:44,854:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:14:48,026:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:15:20,945:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:15:25,357:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:15:27,972:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:15:30,265:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:04,012:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:06,229:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:08,832:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:11,110:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:45,585:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:47,836:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:50,433:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:16:52,715:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:17:27,588:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:17:29,964:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:17:32,685:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:17:34,937:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:18:13,094:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:18:15,429:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:18:18,759:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:18:21,022:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:18:58,647:15761: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:19:00,921:15761: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:20:44,519:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:20:46,876:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:20:50,152:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:20:52,526:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:21:27,928:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:21:30,256:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:21:33,441:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:21:35,667:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:08,509:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:10,714:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:13,449:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:15,800:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:48,909:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:53,600:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:56,205:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:22:58,451:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:23:31,281:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:23:33,628:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:23:36,262:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:23:38,487:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:12,895:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:15,162:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:17,705:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:19,992:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:53,525:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:55,772:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:24:58,982:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:25:01,261:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:27:22,005:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:27:24,268:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:27:27,544:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:27:29,960:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:06,871:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:09,159:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:12,484:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:14,795:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:48,355:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:50,678:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:53,254:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:28:55,491:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:29:27,947:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:29:30,282:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:29:32,886:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:29:35,086:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:10,354:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:13,632:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:16,209:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:18,486:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:55,336:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:30:57,613:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:00,216:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:03,007:15759: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:40,418:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:42,744:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:46,171:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:31:48,509:15760: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:07,307:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:09,629:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:12,966:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:15,334:15754: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:54,621:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:34:57,031:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:00,520:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:05,273:15755: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:41,456:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:43,763:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:46,541:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:35:48,845:15756: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:36:24,907:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:36:27,172:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:36:29,783:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:36:32,139:15757: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-07 15:37:08,171:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:37:10,417:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:37:13,040:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:37:15,350:15758: No my_buy_price unavailable
CRITICAL:strat7:2023-01-07 15:37:49,734:15759: No my_buy_price unavailable
