INFO:strat7:2022-11-16 15:35:55,279:12146: Initialising event
CRITICAL:strat7:2022-11-16 15:36:05,215:12146: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-16 15:36:06,834:12146: last_values_dict empty
INFO:strat7:2022-11-16 15:36:07,677:12147: Initialising event
CRITICAL:strat7:2022-11-16 15:36:14,438:12147: No my_buy_price unavailable
WARNING:strat7:2022-11-16 15:36:15,924:12147: last_values_dict empty
INFO:strat7:2022-11-16 15:36:16,436:12148: Initialising event
CRITICAL:strat7:2022-11-16 15:36:37,428:12148: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-16 15:36:39,031:12148: last_values_dict empty
INFO:strat7:2022-11-16 15:36:39,585:12149: Initialising event
WARNING:strat7:2022-11-16 15:36:46,249:12149: last_values_dict empty
CRITICAL:strat7:2022-11-16 15:36:56,558:12146: Yes my_avgbuy_price unavailable
INFO:strat7:2022-11-16 15:39:07,146:12146: Initialising event
CRITICAL:strat7:2022-11-16 15:39:16,510:12146: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-16 15:39:17,989:12146: last_values_dict empty
INFO:strat7:2022-11-16 15:41:23,496:12146: Initialising event
CRITICAL:strat7:2022-11-16 15:41:32,633:12146: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-16 15:41:34,097:12146: last_values_dict empty
CRITICAL:strat7:2022-11-16 15:41:53,211:12146: Yes my_avgbuy_price unavailable
INFO:strat7:2022-11-16 15:43:09,158:12146: Initialising event
CRITICAL:strat7:2022-11-16 15:43:19,336:12146: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-16 15:43:20,870:12146: last_values_dict empty
INFO:strat7:2022-11-16 15:43:26,400:12147: Initialising event
CRITICAL:strat7:2022-11-16 15:43:39,763:12147: No my_buy_price unavailable
WARNING:strat7:2022-11-16 15:43:41,350:12147: last_values_dict empty
INFO:strat7:2022-11-16 15:43:47,459:12148: Initialising event
CRITICAL:strat7:2022-11-16 15:43:55,457:12148: No my_buy_price unavailable
WARNING:strat7:2022-11-16 15:43:58,244:12148: last_values_dict empty
INFO:strat7:2022-11-16 15:44:04,068:12149: Initialising event
WARNING:strat7:2022-11-16 15:44:10,773:12149: last_values_dict empty
CRITICAL:strat7:2022-11-16 15:44:25,299:12146: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-16 15:44:27,249:12146: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-16 15:44:44,903:12147: No my_buy_price unavailable
CRITICAL:strat7:2022-11-16 15:44:46,868:12147: No my_buy_price unavailable
CRITICAL:strat7:2022-11-16 15:45:02,259:12148: No my_buy_price unavailable
CRITICAL:strat7:2022-11-16 15:45:04,173:12148: No my_buy_price unavailable
CRITICAL:strat7:2022-11-16 15:46:35,081:12146: Yes my_avgbuy_price unavailable
