INFO:strat7:2022-12-25 16:12:40,452:14688: Initialising event
CRITICAL:strat7:2022-12-25 16:13:06,109:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:13:08,216:14688: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-25 16:13:09,390:14688: last_values_dict empty
INFO:strat7:2022-12-25 16:13:15,740:14689: Initialising event
CRITICAL:strat7:2022-12-25 16:13:41,968:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:13:43,987:14689: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-25 16:13:45,189:14689: last_values_dict empty
INFO:strat7:2022-12-25 16:13:51,326:14690: Initialising event
CRITICAL:strat7:2022-12-25 16:14:19,387:14690: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:14:21,531:14690: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-25 16:14:22,719:14690: last_values_dict empty
INFO:strat7:2022-12-25 16:14:28,857:14691: Initialising event
CRITICAL:strat7:2022-12-25 16:14:56,452:14691: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:14:58,606:14691: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-25 16:14:59,784:14691: last_values_dict empty
INFO:strat7:2022-12-25 16:15:05,994:14692: Initialising event
CRITICAL:strat7:2022-12-25 16:15:34,833:14692: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:15:38,637:14692: No my_buy_price unavailable
WARNING:strat7:2022-12-25 16:15:39,905:14692: last_values_dict empty
INFO:strat7:2022-12-25 16:15:46,017:14693: Initialising event
CRITICAL:strat7:2022-12-25 16:16:14,109:14693: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:16:16,197:14693: No my_buy_price unavailable
WARNING:strat7:2022-12-25 16:16:17,390:14693: last_values_dict empty
INFO:strat7:2022-12-25 16:16:23,487:14694: Initialising event
CRITICAL:strat7:2022-12-25 16:16:51,416:14694: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:16:53,459:14694: No my_buy_price unavailable
WARNING:strat7:2022-12-25 16:16:54,692:14694: last_values_dict empty
INFO:strat7:2022-12-25 16:17:00,866:14695: Initialising event
WARNING:strat7:2022-12-25 16:17:30,554:14695: last_values_dict empty
CRITICAL:strat7:2022-12-25 16:17:57,808:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:17:59,826:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:02,816:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:04,900:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:32,656:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:34,868:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:37,791:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:18:39,943:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:13,855:14690: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:15,984:14690: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:18,930:14690: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:21,052:14690: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:47,852:14691: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:49,901:14691: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:52,821:14691: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:19:54,875:14691: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:22,307:14692: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:24,365:14692: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:27,207:14692: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:29,251:14692: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:57,310:14693: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:20:59,538:14693: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:02,842:14693: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:05,059:14693: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:31,776:14694: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:33,838:14694: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:36,738:14694: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:21:38,764:14694: No my_buy_price unavailable
CRITICAL:strat7:2022-12-25 16:23:43,865:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:23:46,109:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:23:49,179:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:23:51,262:14688: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:24:19,245:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:24:21,509:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:24:24,552:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:24:26,832:14689: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-25 16:24:56,757:14690: Yes my_avgbuy_price unavailable
