INFO:strat7:2023-01-16 15:08:38,052:16610: Initialising event
CRITICAL:strat7:2023-01-16 15:09:26,080:16610: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:09:28,617:16610: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-16 15:09:30,078:16610: last_values_dict empty
INFO:strat7:2023-01-16 15:09:36,798:16611: Initialising event
CRITICAL:strat7:2023-01-16 15:10:07,493:16611: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:10:10,079:16611: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-16 15:10:11,988:16611: last_values_dict empty
INFO:strat7:2023-01-16 15:10:18,637:16612: Initialising event
CRITICAL:strat7:2023-01-16 15:10:50,592:16612: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:10:53,148:16612: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-16 15:10:54,844:16612: last_values_dict empty
INFO:strat7:2023-01-16 15:11:01,304:16613: Initialising event
CRITICAL:strat7:2023-01-16 15:11:33,277:16613: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:11:36,187:16613: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-16 15:11:37,654:16613: last_values_dict empty
INFO:strat7:2023-01-16 15:11:44,208:16614: Initialising event
CRITICAL:strat7:2023-01-16 15:12:15,195:16614: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:12:17,672:16614: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-16 15:12:19,067:16614: last_values_dict empty
INFO:strat7:2023-01-16 15:12:25,428:16615: Initialising event
CRITICAL:strat7:2023-01-16 15:12:53,856:16615: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:12:56,493:16615: No my_buy_price unavailable
WARNING:strat7:2023-01-16 15:12:58,114:16615: last_values_dict empty
INFO:strat7:2023-01-16 15:13:04,436:16616: Initialising event
CRITICAL:strat7:2023-01-16 15:13:35,125:16616: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:13:37,684:16616: No my_buy_price unavailable
WARNING:strat7:2023-01-16 15:13:39,087:16616: last_values_dict empty
INFO:strat7:2023-01-16 15:13:45,559:16617: Initialising event
CRITICAL:strat7:2023-01-16 15:14:14,903:16617: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:14:17,374:16617: No my_buy_price unavailable
WARNING:strat7:2023-01-16 15:14:18,773:16617: last_values_dict empty
CRITICAL:strat7:2023-01-16 15:14:52,263:16610: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:14:54,814:16610: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:14:57,688:16610: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:15:00,209:16610: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:15:35,065:16611: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:15:37,471:16611: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:15:40,590:16611: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:15:43,220:16611: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:14,251:16612: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:16,826:16612: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:19,780:16612: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:22,205:16612: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:53,157:16613: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:55,566:16613: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:16:58,336:16613: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:17:00,757:16613: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-16 15:17:37,696:16614: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:17:40,459:16614: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:17:43,423:16614: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:17:46,136:16614: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:18:21,992:16615: No my_buy_price unavailable
CRITICAL:strat7:2023-01-16 15:18:24,470:16615: No my_buy_price unavailable
