INFO:strat7:2022-12-27 15:19:35,152:14804: Initialising event
CRITICAL:strat7:2022-12-27 15:20:02,941:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:20:05,667:14804: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-27 15:20:07,481:14804: last_values_dict empty
INFO:strat7:2022-12-27 15:20:13,904:14805: Initialising event
CRITICAL:strat7:2022-12-27 15:20:47,926:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:20:50,820:14805: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-27 15:20:53,030:14805: last_values_dict empty
INFO:strat7:2022-12-27 15:20:59,546:14806: Initialising event
CRITICAL:strat7:2022-12-27 15:21:50,326:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:21:53,446:14806: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-27 15:21:56,207:14806: last_values_dict empty
INFO:strat7:2022-12-27 15:22:02,658:14807: Initialising event
CRITICAL:strat7:2022-12-27 15:22:36,130:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:22:39,062:14807: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-27 15:22:42,707:14807: last_values_dict empty
INFO:strat7:2022-12-27 15:22:49,184:14808: Initialising event
CRITICAL:strat7:2022-12-27 15:23:28,164:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:23:32,274:14808: No my_buy_price unavailable
WARNING:strat7:2022-12-27 15:23:34,101:14808: last_values_dict empty
INFO:strat7:2022-12-27 15:23:40,727:14809: Initialising event
CRITICAL:strat7:2022-12-27 15:24:16,496:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:24:19,346:14809: No my_buy_price unavailable
WARNING:strat7:2022-12-27 15:24:21,431:14809: last_values_dict empty
INFO:strat7:2022-12-27 15:24:29,965:14810: Initialising event
CRITICAL:strat7:2022-12-27 15:25:06,841:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:25:10,006:14810: No my_buy_price unavailable
WARNING:strat7:2022-12-27 15:25:11,896:14810: last_values_dict empty
INFO:strat7:2022-12-27 15:25:18,413:14811: Initialising event
CRITICAL:strat7:2022-12-27 15:25:55,860:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:25:59,008:14811: No my_buy_price unavailable
WARNING:strat7:2022-12-27 15:26:00,910:14811: last_values_dict empty
CRITICAL:strat7:2022-12-27 15:26:35,224:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:26:37,903:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:26:41,433:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:26:44,189:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:27:17,438:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:27:20,382:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:27:26,085:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:27:29,000:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:04,705:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:07,901:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:12,338:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:15,497:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:53,086:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:28:56,081:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:01,591:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:04,999:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:49,687:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:52,708:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:56,780:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:29:59,687:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:30:37,502:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:30:40,377:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:30:44,335:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:30:47,049:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:31:22,988:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:31:26,098:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:31:30,417:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:31:33,473:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:32:16,085:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:32:18,730:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:32:22,437:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:32:25,700:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:08,007:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:11,113:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:15,589:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:18,748:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:51,791:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:34:55,603:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:35:00,284:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:35:05,361:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:35:49,267:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:35:53,610:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:35:58,414:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:36:01,915:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:36:52,419:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:36:55,722:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:37:02,330:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:37:08,877:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:37:51,362:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:37:55,325:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:00,112:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:03,908:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:43,111:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:46,535:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:51,266:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:38:54,736:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:39:40,565:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:39:44,786:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:39:49,354:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:39:53,784:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:40:41,933:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:40:45,507:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:40:51,448:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:40:55,069:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:42:40,783:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:42:44,321:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:42:48,841:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:42:52,282:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:43:36,970:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:43:41,395:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:43:46,428:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:43:51,691:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:44:34,625:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:44:38,594:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:44:44,257:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:44:47,790:14806: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:45:33,306:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:45:37,359:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:45:43,301:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:45:49,881:14807: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:46:41,188:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:46:44,565:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:46:49,909:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:46:53,549:14808: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:47:45,418:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:47:49,362:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:47:54,116:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:47:57,635:14809: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:48:48,008:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:48:51,282:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:48:56,554:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:49:00,804:14810: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:49:43,595:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:49:46,488:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:49:50,855:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:49:54,532:14811: No my_buy_price unavailable
CRITICAL:strat7:2022-12-27 15:51:39,313:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:51:43,301:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:51:49,681:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:51:52,675:14804: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:52:26,249:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:52:29,276:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:52:33,559:14805: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-27 15:52:37,296:14805: Yes my_avgbuy_price unavailable
