INFO:strat7:2022-11-18 16:01:26,540:12230: Initialising event
CRITICAL:strat7:2022-11-18 16:01:53,523:12230: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-18 16:01:55,062:12230: last_values_dict empty
INFO:strat7:2022-11-18 16:02:03,657:12231: Initialising event
CRITICAL:strat7:2022-11-18 16:02:15,287:12231: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-18 16:02:16,866:12231: last_values_dict empty
INFO:strat7:2022-11-18 16:02:22,987:12232: Initialising event
CRITICAL:strat7:2022-11-18 16:02:34,797:12232: No my_buy_price unavailable
WARNING:strat7:2022-11-18 16:02:36,494:12232: last_values_dict empty
INFO:strat7:2022-11-18 16:02:42,402:12233: Initialising event
CRITICAL:strat7:2022-11-18 16:02:54,975:12233: No my_buy_price unavailable
WARNING:strat7:2022-11-18 16:02:56,552:12233: last_values_dict empty
CRITICAL:strat7:2022-11-18 16:03:13,080:12230: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:03:15,465:12230: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:03:30,403:12231: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:03:33,049:12231: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:03:48,867:12232: No my_buy_price unavailable
CRITICAL:strat7:2022-11-18 16:03:51,727:12232: No my_buy_price unavailable
CRITICAL:strat7:2022-11-18 16:04:10,719:12233: No my_buy_price unavailable
CRITICAL:strat7:2022-11-18 16:04:12,841:12233: No my_buy_price unavailable
CRITICAL:strat7:2022-11-18 16:05:30,768:12230: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:05:32,789:12230: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:05:51,161:12231: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:05:53,217:12231: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-18 16:06:08,870:12232: No my_buy_price unavailable
CRITICAL:strat7:2022-11-18 16:06:11,603:12232: No my_buy_price unavailable
