INFO:strat7:2023-01-03 15:04:59,703:15361: Initialising event
CRITICAL:strat7:2023-01-03 15:05:35,618:15361: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:05:37,937:15361: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-03 15:05:39,446:15361: last_values_dict empty
INFO:strat7:2023-01-03 15:05:45,989:15362: Initialising event
CRITICAL:strat7:2023-01-03 15:06:14,938:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:06:17,429:15362: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-03 15:06:18,783:15362: last_values_dict empty
INFO:strat7:2023-01-03 15:06:25,212:15363: Initialising event
CRITICAL:strat7:2023-01-03 15:07:03,711:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:07:05,999:15363: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-03 15:07:07,399:15363: last_values_dict empty
INFO:strat7:2023-01-03 15:07:13,658:15364: Initialising event
CRITICAL:strat7:2023-01-03 15:07:48,085:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:07:50,542:15364: Yes my_avgbuy_price unavailable
WARNING:strat7:2023-01-03 15:07:51,920:15364: last_values_dict empty
INFO:strat7:2023-01-03 15:07:58,381:15365: Initialising event
CRITICAL:strat7:2023-01-03 15:08:28,099:15365: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:08:30,411:15365: No my_buy_price unavailable
WARNING:strat7:2023-01-03 15:08:31,704:15365: last_values_dict empty
INFO:strat7:2023-01-03 15:08:38,115:15366: Initialising event
CRITICAL:strat7:2023-01-03 15:09:12,761:15366: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:09:15,043:15366: No my_buy_price unavailable
WARNING:strat7:2023-01-03 15:09:16,220:15366: last_values_dict empty
INFO:strat7:2023-01-03 15:09:22,415:15367: Initialising event
CRITICAL:strat7:2023-01-03 15:09:51,566:15367: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:09:53,791:15367: No my_buy_price unavailable
WARNING:strat7:2023-01-03 15:09:54,951:15367: last_values_dict empty
INFO:strat7:2023-01-03 15:10:01,336:15368: Initialising event
WARNING:strat7:2023-01-03 15:10:42,638:15368: last_values_dict empty
CRITICAL:strat7:2023-01-03 15:12:05,360:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:07,782:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:11,212:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:13,475:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:49,710:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:52,789:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:56,061:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:12:58,463:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:13:36,691:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:13:39,078:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:13:41,769:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:13:44,038:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:18,815:15365: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:21,122:15365: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:23,976:15365: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:26,715:15365: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:56,980:15366: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:14:59,507:15366: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:03,238:15366: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:05,709:15366: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:40,481:15367: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:42,825:15367: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:46,185:15367: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:15:48,446:15367: No my_buy_price unavailable
CRITICAL:strat7:2023-01-03 15:18:57,278:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:18:59,493:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:03,145:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:06,354:15362: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:41,049:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:43,595:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:47,018:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:19:49,601:15363: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:20:23,662:15364: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2023-01-03 15:20:26,094:15364: Yes my_avgbuy_price unavailable
