INFO:strat7:2022-12-20 15:29:33,015:14285: Initialising event
CRITICAL:strat7:2022-12-20 15:30:17,390:14285: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-20 15:30:19,640:14285: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-20 15:30:20,835:14285: last_values_dict empty
INFO:strat7:2022-12-20 15:30:27,031:14286: Initialising event
CRITICAL:strat7:2022-12-20 15:30:55,598:14286: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-20 15:30:57,783:14286: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-20 15:30:58,919:14286: last_values_dict empty
INFO:strat7:2022-12-20 15:31:04,983:14287: Initialising event
CRITICAL:strat7:2022-12-20 15:31:33,670:14287: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-20 15:31:35,860:14287: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-20 15:31:37,087:14287: last_values_dict empty
INFO:strat7:2022-12-20 15:31:43,162:14288: Initialising event
CRITICAL:strat7:2022-12-20 15:32:11,109:14288: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-20 15:32:13,218:14288: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-20 15:32:14,488:14288: last_values_dict empty
INFO:strat7:2022-12-20 15:32:20,557:14289: Initialising event
CRITICAL:strat7:2022-12-20 15:32:47,091:14289: No my_buy_price unavailable
CRITICAL:strat7:2022-12-20 15:32:49,132:14289: No my_buy_price unavailable
WARNING:strat7:2022-12-20 15:32:50,353:14289: last_values_dict empty
INFO:strat7:2022-12-20 15:32:56,497:14290: Initialising event
CRITICAL:strat7:2022-12-20 15:33:20,053:14290: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-20 15:33:22,126:14290: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-20 15:33:23,340:14290: last_values_dict empty
INFO:strat7:2022-12-20 15:33:29,447:14292: Initialising event
CRITICAL:strat7:2022-12-20 15:33:56,139:14292: No my_buy_price unavailable
CRITICAL:strat7:2022-12-20 15:33:58,240:14292: No my_buy_price unavailable
WARNING:strat7:2022-12-20 15:33:59,510:14292: last_values_dict empty
INFO:strat7:2022-12-20 15:34:05,841:14293: Initialising event
CRITICAL:strat7:2022-12-20 15:34:35,370:14293: No my_buy_price unavailable
CRITICAL:strat7:2022-12-20 15:34:37,543:14293: No my_buy_price unavailable
WARNING:strat7:2022-12-20 15:34:38,801:14293: last_values_dict empty
CRITICAL:strat7:2022-12-20 15:35:06,644:14285: Yes my_avgbuy_price unavailable
