INFO:strat7:2022-12-29 15:08:54,407:14972: Initialising event
CRITICAL:strat7:2022-12-29 15:09:32,222:14972: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:09:34,478:14972: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-29 15:09:35,795:14972: last_values_dict empty
INFO:strat7:2022-12-29 15:09:42,015:14973: Initialising event
CRITICAL:strat7:2022-12-29 15:10:14,560:14973: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:10:17,009:14973: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-29 15:10:18,815:14973: last_values_dict empty
INFO:strat7:2022-12-29 15:10:25,218:14974: Initialising event
CRITICAL:strat7:2022-12-29 15:10:56,983:14974: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:11:00,286:14974: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-12-29 15:11:01,713:14974: last_values_dict empty
INFO:strat7:2022-12-29 15:11:07,929:14975: Initialising event
CRITICAL:strat7:2022-12-29 15:11:36,378:14975: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:11:38,575:14975: No my_buy_price unavailable
WARNING:strat7:2022-12-29 15:11:39,994:14975: last_values_dict empty
INFO:strat7:2022-12-29 15:11:46,281:14976: Initialising event
CRITICAL:strat7:2022-12-29 15:12:18,421:14976: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:12:20,717:14976: No my_buy_price unavailable
WARNING:strat7:2022-12-29 15:12:22,084:14976: last_values_dict empty
INFO:strat7:2022-12-29 15:12:28,338:14977: Initialising event
CRITICAL:strat7:2022-12-29 15:13:00,700:14977: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:13:02,994:14977: No my_buy_price unavailable
WARNING:strat7:2022-12-29 15:13:04,319:14977: last_values_dict empty
INFO:strat7:2022-12-29 15:13:10,492:14978: Initialising event
CRITICAL:strat7:2022-12-29 15:13:41,653:14978: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:13:43,981:14978: No my_buy_price unavailable
WARNING:strat7:2022-12-29 15:13:45,377:14978: last_values_dict empty
INFO:strat7:2022-12-29 15:13:51,735:14979: Initialising event
CRITICAL:strat7:2022-12-29 15:14:23,780:14979: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:14:26,120:14979: No my_buy_price unavailable
WARNING:strat7:2022-12-29 15:14:27,449:14979: last_values_dict empty
CRITICAL:strat7:2022-12-29 15:15:02,304:14972: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:04,675:14972: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:07,928:14972: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:10,300:14972: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:42,137:14973: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:44,373:14973: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:49,571:14973: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:15:51,922:14973: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:16:21,807:14974: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:16:24,271:14974: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:16:27,525:14974: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:16:29,861:14974: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:09,361:14975: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:11,591:14975: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:14,847:14975: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:17,255:14975: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:51,542:14976: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:53,835:14976: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:57,179:14976: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:17:59,466:14976: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:18:31,548:14977: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:18:33,712:14977: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:18:36,903:14977: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:18:39,082:14977: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:19:10,136:14978: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:19:12,472:14978: No my_buy_price unavailable
CRITICAL:strat7:2022-12-29 15:19:15,762:14978: No my_buy_price unavailable
